word_lc,cos_dist,count,root_word,lemma_count
enthusiastic,1.0,0.9090909090909091,enthusiastic,1
joyous,1.0,1.0,joyous,1
enchanted,1.0,1.0,enchanted,4
ecstatic,1.0,1.0,ecstatic,3
happy,1.0,0.8636363636363636,happy,5
delighted,1.0,0.9545454545454546,delighted,3
excited,0.81733,0.9090909090909091,thrilled,3
ecstatically,0.75955,1.0,ecstatic,1
enchanting,0.74295,1.0,enchanted,1
exultation,0.72514,0.9545454545454546,exultant,1
awed,0.70147,1.0,enraptured,3
gratified,0.70135,1.0,delighted,1
passionate,0.6973,0.9090909090909091,enthusiastic,1
eager,0.69706,0.9545454545454546,enthusiastic,2
joy,0.68385,0.9545454545454546,joyful,2
shocked,0.67757,0.9090909090909091,overjoyed,2
feverish,0.67526,0.9090909090909091,delirious,1
glad,0.67359,0.6363636363636364,happy,11
magical,0.66765,0.8636363636363636,enchanted,1
fascinated,0.6628,0.7272727272727273,enraptured,2
surprised,0.66214,0.7727272727272727,overjoyed,10
cheerful,0.66102,0.8636363636363636,joyful,7
enthusiastically,0.65424,0.8636363636363636,enthusiastic,3
engrossed,0.65163,0.9545454545454546,enraptured,2
unhappy,0.65156,0.9090909090909091,happy,2
triumphant,0.6515,1.0,exultant,1
proud,0.6444,0.5454545454545454,thrilled,2
astounded,0.64355,0.9545454545454546,overjoyed,1
dismayed,0.64272,0.8636363636363636,overjoyed,1
elation,0.63829,0.9090909090909091,euphoric,1
amazed,0.6351,0.9545454545454546,overjoyed,1
ecstasy,0.624,0.8181818181818182,euphoric,1
stunned,0.61849,0.9545454545454546,overjoyed,1
disappointed,0.61707,0.7727272727272727,thrilled,2
relieved,0.61538,0.8181818181818182,elated,2
grateful,0.60546,0.7727272727272727,happy,1
bewildered,0.60482,1.0,enraptured,1
tranquil,0.60407,0.8636363636363636,blissful,1
enthusiasm,0.60389,0.8181818181818182,enthusiastic,3
distraught,0.60197,1.0,overjoyed,1
riotous,0.59692,0.9090909090909091,joyous,2
glorious,0.59499,0.9545454545454546,joyous,1
heady,0.59154,0.9545454545454546,euphoric,1
fervent,0.5912,0.9545454545454546,enthusiastic,1
breathless,0.59096,0.9545454545454546,rapturous,3
disgusted,0.5792,0.8181818181818182,elated,1
hysterical,0.57438,0.9545454545454546,delirious,1
jovial,0.57186,0.8636363636363636,jubilant,1
overwhelmed,0.57005,0.9090909090909091,elated,1
boisterously,0.56567,1.0,jubilant,1
terrified,0.55938,0.9090909090909091,overjoyed,1
excitedly,0.55822,0.8636363636363636,overjoyed,5
confident,0.55791,0.7272727272727273,happy,2
embarrassed,0.55677,0.8636363636363636,elated,4
triumphantly,0.55392,1.0,exultant,2
sad,0.55353,0.7727272727272727,happy,8
despairing,0.55169,0.9545454545454546,exultant,1
feeling,0.55098,1.0,euphoric,3
welcome,0.54658,0.5909090909090909,delighted,3
sure,0.54533,0.4090909090909091,happy,17
exult,0.54449,0.9545454545454546,exultant,1
incredulous,0.54222,0.9545454545454546,elated,3
indignant,0.54198,0.9545454545454546,exultant,1
delight,0.54087,0.9545454545454546,delighted,2
sensuous,0.53833,0.8181818181818182,rapturous,2
frantic,0.53807,0.9090909090909091,delirious,1
orgastic,0.53683,0.6363636363636364,orgasmic,1
dazed,0.53539,0.9545454545454546,delirious,1
melancholy,0.53387,0.9090909090909091,joyous,2
magic,0.53356,0.13636363636363635,enchanted,2
conscientious,0.53248,0.5,enthusiastic,2
ambitious,0.52987,0.8181818181818182,enthusiastic,2
wonderful,0.52909,0.8636363636363636,joyous,1
ejaculate,0.52791,0.2727272727272727,orgasmic,1
announce,0.52779,0.5,thrilled,4
baffled,0.52767,0.7272727272727273,elated,1
pleasantly,0.52548,1.0,delighted,2
oblivious,0.52521,0.9545454545454546,enraptured,1
poignant,0.52427,0.9090909090909091,joyous,1
triumph,0.52413,0.8181818181818182,exultant,2
enchant,0.5228,0.18181818181818182,enchanted,1
solemn,0.52279,0.6818181818181818,joyous,7
impassioned,0.52041,0.9545454545454546,enthusiastic,4
wish,0.52001,0.45454545454545453,happy,3
convinced,0.51993,0.6818181818181818,overjoyed,1
reverent,0.51787,1.0,joyful,1
fantastic,0.51637,0.8181818181818182,delighted,7
lustily,0.51619,0.9090909090909091,exultant,1
luxuriate,0.51604,0.9545454545454546,blissful,1
florid,0.51586,0.6818181818181818,rhapsodic,2
incoherent,0.5155,0.6363636363636364,delirious,3
lucky,0.51387,0.7272727272727273,happy,1
ravage,0.51194,0.18181818181818182,ravished,1
nice,0.51143,0.45454545454545453,happy,13
exciting,0.51086,0.7727272727272727,thrilled,3
blessed,0.51075,0.9090909090909091,overjoyed,1
thrilling,0.50899,1.0,joyous,3
pleasant,0.50839,0.8636363636363636,joyful,6
adventurous,0.50753,0.9090909090909091,enthusiastic,1
gaiety,0.50653,0.7272727272727273,joyous,5
portentous,0.50624,0.7272727272727273,exultant,2
daze,0.50614,0.8181818181818182,delirious,1
cheer,0.50578,0.6363636363636364,jubilant,1
frightened,0.50518,0.9090909090909091,elated,3
bewitch,0.50274,0.5454545454545454,enchanted,1
helplessly,0.50222,0.7727272727272727,enraptured,4
hope,0.50135,0.5,happy,12
dizzy,0.49865,0.7272727272727273,delirious,1
languid,0.49792,0.8181818181818182,rhapsodic,1
mad,0.49781,0.8181818181818182,delirious,4
good,0.49572,0.4090909090909091,happy,37
stormily,0.49541,0.9090909090909091,exultant,1
happiness,0.49515,0.6818181818181818,joyful,2
sombre,0.49442,0.7272727272727273,joyous,1
defiant,0.49342,0.9090909090909091,jubilant,2
startled,0.49274,0.9545454545454546,elated,3
melodious,0.49233,0.9090909090909091,joyous,1
forlorn,0.49194,0.9545454545454546,exultant,1
unforgettable,0.49125,1.0,joyous,1
transport,0.4908,0.045454545454545456,transported,1
impatient,0.49001,0.8636363636363636,enthusiastic,1
hesitant,0.48868,0.6363636363636364,thrilled,1
magnanimous,0.48833,0.9545454545454546,exultant,1
puzzled,0.4874,0.7727272727272727,elated,1
reverie,0.48721,0.7727272727272727,blissful,1
transcendent,0.48694,0.7727272727272727,beatific,1
dazzling,0.48625,0.9090909090909091,rapturous,1
glowing,0.48529,0.9545454545454546,rapturous,1
rowdy,0.48453,0.8636363636363636,jubilant,1
sorrow,0.48383,0.8181818181818182,joyful,1
friendly,0.48369,0.36363636363636365,enthusiastic,1
amazing,0.48362,0.8636363636363636,thrilled,2
convivial,0.48258,0.8181818181818182,joyous,1
finally,0.48245,0.6818181818181818,overjoyed,13
breathlessly,0.48142,1.0,exultant,3
curious,0.48114,0.8636363636363636,enthusiastic,12
furious,0.48028,0.9090909090909091,overjoyed,1
angry,0.48019,0.8636363636363636,elated,4
ineffable,0.48008,0.7272727272727273,beatific,1
annoyed,0.47967,0.7727272727272727,overjoyed,1
tumultuous,0.47908,0.7272727272727273,joyous,2
obliging,0.47865,0.7272727272727273,enthusiastic,1
generous,0.47856,0.6818181818181818,enthusiastic,1
easygoing,0.47824,0.7272727272727273,enthusiastic,1
vibrant,0.47757,1.0,joyful,1
mellow,0.47737,0.7727272727272727,euphoric,1
splendid,0.47707,0.9545454545454546,joyous,2
clamorously,0.47689,0.9090909090909091,exultant,1
laughter,0.47678,0.9090909090909091,joyous,13
earnest,0.47666,0.8181818181818182,enthusiastic,1
countenance,0.47619,0.7727272727272727,beatific,1
excitement,0.47606,0.8636363636363636,ecstatic,7
marvellous,0.47584,0.9545454545454546,delighted,1
fun,0.47575,0.6818181818181818,joyful,2
dejection,0.47457,0.7727272727272727,exultant,1
interested,0.47354,0.36363636363636365,enthusiastic,8
murmurous,0.47353,0.7272727272727273,rhapsodic,2
reluctant,0.47337,0.6818181818181818,enthusiastic,5
fascination,0.47285,0.6363636363636364,enraptured,1
tipsy,0.47262,0.9545454545454546,delirious,1
sumptuous,0.47168,0.8181818181818182,rapturous,1
dismay,0.46966,0.8636363636363636,overjoyed,1
beautiful,0.46945,0.9090909090909091,joyful,7
dignified,0.46925,0.6818181818181818,joyful,4
exclaim,0.46875,0.8181818181818182,exultant,9
irresistible,0.46833,0.9090909090909091,enraptured,3
surprise,0.46736,0.7727272727272727,overjoyed,8
redolent,0.46662,0.7272727272727273,rhapsodic,2
willing,0.46575,0.4090909090909091,happy,2
crowd,0.46572,0.5909090909090909,jubilant,16
strident,0.46552,0.6363636363636364,exultant,1
wholesome,0.4654,0.5454545454545454,joyful,1
sadness,0.46487,0.7727272727272727,joyous,2
eagerly,0.46473,0.9090909090909091,overjoyed,9
crazy,0.46454,0.7272727272727273,delirious,14
eagerness,0.4644,0.9090909090909091,enthusiastic,2
ravenously,0.46404,0.7727272727272727,enraptured,1
prosperous,0.46353,0.6818181818181818,joyful,1
crescendo,0.46304,0.5909090909090909,exultant,1
able,0.46279,0.4090909090909091,happy,6
gaze,0.46278,0.45454545454545453,enraptured,2
feel,0.46266,0.7272727272727273,happy,40
worried,0.46209,0.5,overjoyed,3
subdued,0.4609,0.9545454545454546,jubilant,1
jealous,0.46062,0.9090909090909091,overjoyed,1
hungrily,0.46012,0.7272727272727273,enraptured,1
restless,0.45988,0.9545454545454546,delirious,5
unashamed,0.45853,0.9545454545454546,exultant,1
charming,0.45765,0.8636363636363636,enchanted,4
miserable,0.45749,0.8181818181818182,happy,2
drunken,0.4572,0.8181818181818182,delirious,1
quieter,0.45573,0.2727272727272727,happy,1
rhythmic,0.45558,0.6363636363636364,rhapsodic,1
soothing,0.45512,0.7272727272727273,blissful,1
uncontrollable,0.45509,0.8181818181818182,delirious,1
chorus,0.4547,0.5909090909090909,exultant,2
roar,0.45414,0.7272727272727273,exultant,4
polite,0.45399,0.45454545454545453,enthusiastic,6
