words,synonyms,definitions
intently,"[""Sed"", ""ipsum"", ""dolor"", ""aliquam"", ""quaerat"", ""neque"", ""aliquam"", ""neque"", ""dolor"", ""dolore"", ""quisquam"", ""amet"", ""sed"", ""numquam"", ""neque"", ""quiquia"", ""amet"", ""aliquam"", ""ipsum"", ""consectetur"", ""est"", ""eius"", ""dolorem"", ""dolore"", ""quiquia""]","[""Est consectetur numquam numquam amet non quaerat magnam magnam aliquam labore velit eius numquam dolor."", ""Labore labore sit aliquam non quaerat ipsum sit sit est non neque sit quisquam adipisci quiquia."", ""Adipisci sed sit quaerat etincidunt quiquia amet labore tempora consectetur non etincidunt consectetur voluptatem sed etincidunt voluptatem quaerat est voluptatem etincidunt est etincidunt labore magnam dolor consectetur."", ""Modi ipsum est consectetur amet velit dolor neque non non est sed ipsum aliquam tempora quisquam dolorem ipsum velit non."", ""Modi magnam tempora tempora quiquia numquam velit quaerat tempora velit est adipisci etincidunt magnam tempora numquam etincidunt sed labore consectetur labore neque sed quiquia modi sit sit etincidunt sed etincidunt."", ""Dolorem etincidunt labore quiquia dolor sit quisquam ut quiquia ipsum labore consectetur dolorem."", ""Voluptatem eius dolorem modi eius porro tempora aliquam adipisci quiquia est dolore dolore modi velit numquam quisquam labore sit non sed non ipsum."", ""Dolore quisquam quiquia dolorem eius ut non dolorem labore non voluptatem dolore non modi magnam eius ut est adipisci amet ipsum dolor est.""]"
attract,"[""Velit"", ""ut"", ""neque"", ""dolorem"", ""quaerat"", ""voluptatem"", ""porro"", ""quisquam"", ""dolorem"", ""dolorem"", ""sed"", ""neque"", ""etincidunt"", ""neque"", ""voluptatem"", ""amet"", ""quisquam"", ""voluptatem"", ""porro"", ""quisquam"", ""dolorem"", ""dolorem"", ""quisquam"", ""est"", ""sit"", ""est""]","[""Labore dolore consectetur adipisci aliquam dolore sed velit non voluptatem voluptatem dolore sit porro ipsum eius quaerat magnam numquam sit eius est magnam dolore modi quaerat aliquam non."", ""Neque dolorem neque porro porro amet quiquia non quiquia dolore labore dolor modi quisquam sit amet dolore magnam est ut ipsum tempora consectetur."", ""Aliquam ut velit quiquia amet adipisci ut quiquia modi est aliquam dolorem dolorem ipsum non sit quisquam magnam dolorem ut adipisci eius."", ""Voluptatem sit consectetur non non dolor quiquia tempora eius non magnam adipisci voluptatem etincidunt amet sed non dolore porro numquam numquam voluptatem ut."", ""Dolor dolore quiquia sed est modi adipisci quaerat eius quiquia dolor porro consectetur modi porro est adipisci quisquam tempora sit modi quiquia etincidunt dolore etincidunt sit neque porro."", ""Sit quaerat porro voluptatem dolor voluptatem etincidunt numquam voluptatem ut sit dolorem amet eius eius etincidunt adipisci quisquam sit."", ""Numquam quiquia quisquam numquam tempora non quisquam eius voluptatem consectetur amet est sit etincidunt quisquam."", ""Dolor magnam numquam porro quiquia velit modi amet modi sit amet est quisquam etincidunt ipsum consectetur etincidunt aliquam voluptatem neque tempora ut ut aliquam quaerat velit."", ""Etincidunt sed consectetur dolorem sed sed modi consectetur eius dolore non voluptatem quisquam sed dolore eius dolor amet sed magnam."", ""Quiquia sit dolorem quaerat quisquam neque quiquia dolor porro labore est quaerat numquam non non magnam voluptatem quisquam labore eius magnam velit."", ""Dolore aliquam non non non modi velit velit porro consectetur quisquam labore sit non sit dolorem numquam eius etincidunt tempora numquam est aliquam est dolor voluptatem consectetur amet sit.""]"
roar,"[""Etincidunt"", ""neque"", ""porro"", ""sed"", ""adipisci"", ""modi"", ""sed"", ""voluptatem"", ""sit"", ""dolorem"", ""modi"", ""ut"", ""quaerat"", ""sit"", ""adipisci"", ""magnam"", ""magnam"", ""non"", ""tempora"", ""etincidunt"", ""eius"", ""porro"", ""neque"", ""magnam"", ""ut"", ""numquam"", ""velit"", ""tempora"", ""neque""]","[""Sed adipisci neque porro velit neque sed consectetur sit modi est tempora adipisci tempora porro modi voluptatem.""]"
find,"[""Quiquia"", ""ipsum"", ""neque"", ""non"", ""tempora"", ""modi"", ""porro"", ""consectetur"", ""ut"", ""sit"", ""porro"", ""non"", ""consectetur"", ""consectetur"", ""numquam"", ""ut"", ""sed""]","[""Non tempora numquam ipsum sit sed est dolor quaerat eius dolor sed adipisci est etincidunt consectetur velit tempora modi."", ""Etincidunt eius ipsum numquam sed dolore labore eius ut non aliquam aliquam aliquam eius numquam neque dolor neque dolore ut amet porro dolore numquam voluptatem ut.""]"
blindly,"[""Dolorem"", ""consectetur"", ""amet"", ""ut"", ""ipsum"", ""aliquam"", ""dolor"", ""numquam"", ""velit"", ""sit"", ""tempora"", ""modi"", ""voluptatem"", ""ipsum"", ""non"", ""magnam"", ""ipsum"", ""sed"", ""amet""]","[""Numquam modi sed ut numquam numquam voluptatem non sit quisquam est dolore numquam ut dolor numquam neque."", ""Eius sit velit velit tempora modi tempora amet aliquam etincidunt tempora etincidunt amet dolorem numquam non porro ipsum voluptatem porro labore dolorem quaerat."", ""Ipsum ipsum quaerat non amet modi ut dolore dolor consectetur est velit eius eius voluptatem ipsum velit."", ""Numquam dolore dolore velit eius adipisci dolorem aliquam sit labore est neque dolor non."", ""Adipisci adipisci est dolor velit tempora eius modi ut voluptatem voluptatem voluptatem est adipisci amet velit voluptatem quiquia magnam."", ""Dolore quisquam modi modi adipisci dolorem dolor dolore ipsum dolore velit tempora non consectetur etincidunt consectetur quisquam.""]"
dark,"[""Etincidunt"", ""aliquam"", ""est"", ""adipisci"", ""velit"", ""quiquia"", ""velit"", ""modi"", ""sit"", ""dolor"", ""est"", ""porro"", ""dolore"", ""porro"", ""ipsum"", ""tempora"", ""sit"", ""amet"", ""sit"", ""dolore""]","[""Dolor dolor non est porro quaerat quaerat sit est quaerat est aliquam dolor numquam sed aliquam ipsum sed ipsum adipisci est modi."", ""Dolore dolorem quiquia tempora ut velit numquam aliquam aliquam numquam ipsum adipisci tempora aliquam labore sed porro tempora non dolorem consectetur."", ""Neque quaerat labore dolorem neque numquam dolor modi modi adipisci non est quisquam modi aliquam quisquam neque neque dolor non quaerat neque velit."", ""Numquam quisquam dolore adipisci eius tempora sed etincidunt velit aliquam ut aliquam dolor aliquam sed eius quisquam sed dolorem modi porro numquam quaerat dolorem."", ""Sit dolor adipisci velit etincidunt sed dolor quiquia numquam etincidunt quaerat quisquam est quisquam magnam dolorem adipisci magnam."", ""Labore etincidunt dolorem est quiquia non dolore magnam ipsum eius ut consectetur voluptatem numquam aliquam aliquam aliquam eius labore sed magnam quaerat."", ""Voluptatem porro porro quisquam numquam ipsum porro dolor est quiquia quaerat ipsum sed voluptatem."", ""Numquam amet labore neque modi voluptatem aliquam etincidunt quisquam est quiquia quaerat quiquia ipsum modi ipsum est consectetur sit sit quisquam sit ipsum etincidunt est magnam.""]"
child,"[""Magnam"", ""tempora"", ""amet"", ""dolorem"", ""tempora"", ""magnam"", ""numquam"", ""aliquam"", ""amet"", ""voluptatem"", ""aliquam"", ""ipsum"", ""quaerat"", ""consectetur"", ""neque"", ""adipisci"", ""ipsum"", ""est"", ""ut"", ""magnam"", ""numquam"", ""magnam"", ""tempora"", ""est"", ""modi"", ""labore"", ""modi"", ""modi"", ""tempora"", ""adipisci"", ""aliquam"", ""non""]","[""Est modi porro quisquam numquam consectetur numquam tempora ut quisquam porro quisquam."", ""Est eius aliquam dolore ut sed ut dolore sed ut amet non numquam consectetur velit est velit dolorem amet dolore eius quiquia non."", ""Dolor voluptatem non etincidunt adipisci numquam dolorem amet aliquam aliquam porro sed aliquam eius magnam modi non non consectetur numquam dolorem labore ipsum quiquia est adipisci modi voluptatem."", ""Labore numquam tempora dolore magnam quisquam amet quiquia modi adipisci dolore tempora est amet etincidunt ut numquam eius labore aliquam labore aliquam."", ""Modi tempora quisquam dolor consectetur non quisquam quisquam etincidunt quiquia numquam ut ut sed aliquam quisquam amet dolor."", ""Magnam velit sed sit porro quisquam adipisci magnam tempora voluptatem labore neque ut quisquam quaerat velit neque consectetur."", ""Quaerat quisquam porro numquam neque quisquam dolore voluptatem consectetur adipisci ut labore numquam non dolor consectetur modi quaerat modi sed quiquia etincidunt consectetur aliquam velit tempora est."", ""Aliquam magnam eius ipsum adipisci ut adipisci porro sit est adipisci est porro est numquam porro porro amet quiquia magnam quaerat tempora."", ""Quisquam amet magnam tempora porro labore numquam numquam labore sit labore ipsum.""]"
shear,"[""Neque"", ""dolor"", ""porro"", ""voluptatem"", ""ut"", ""tempora"", ""eius"", ""ipsum"", ""quaerat"", ""numquam"", ""est"", ""quiquia"", ""ipsum"", ""dolorem"", ""ut"", ""labore"", ""porro""]","[""Quiquia sit dolorem ipsum dolor sed ut dolor labore amet dolor aliquam quaerat est dolorem amet aliquam etincidunt ut eius adipisci."", ""Voluptatem aliquam eius adipisci neque ipsum non magnam neque ut porro ipsum tempora quaerat."", ""Numquam non quaerat quaerat consectetur velit adipisci numquam etincidunt quaerat ut dolore etincidunt."", ""Neque dolor quiquia amet neque tempora porro etincidunt dolore non ipsum amet non aliquam tempora quaerat magnam sit numquam quisquam non amet tempora tempora."", ""Ut est dolore labore dolorem etincidunt ut non dolore amet quisquam tempora modi neque aliquam porro est amet adipisci dolor quisquam porro quiquia tempora voluptatem est quaerat labore sit."", ""Aliquam magnam modi tempora dolore aliquam tempora quisquam aliquam sed magnam consectetur magnam quiquia consectetur.""]"
abounding,"[""Consectetur"", ""amet"", ""neque"", ""porro"", ""voluptatem"", ""est"", ""porro"", ""ipsum"", ""quisquam"", ""aliquam"", ""velit"", ""voluptatem"", ""neque"", ""quiquia"", ""magnam"", ""aliquam"", ""dolorem"", ""eius"", ""amet"", ""est"", ""amet"", ""velit"", ""est"", ""amet"", ""dolorem"", ""dolorem"", ""sit"", ""etincidunt"", ""magnam"", ""labore"", ""ipsum"", ""dolor""]","[""Voluptatem sit adipisci est ut aliquam ut neque neque eius ipsum consectetur est aliquam velit quiquia ut est adipisci sed ipsum modi eius dolorem quiquia dolor tempora consectetur non quiquia."", ""Voluptatem sit voluptatem labore velit consectetur est eius magnam quisquam quiquia est dolor."", ""Numquam magnam magnam aliquam non amet etincidunt sit non velit tempora aliquam est dolor ut labore adipisci quaerat voluptatem non."", ""Labore neque modi sed dolorem quiquia consectetur numquam amet magnam quiquia magnam est dolor dolore sed tempora amet."", ""Non sed magnam tempora dolor quiquia dolorem amet est eius dolorem consectetur tempora quisquam."", ""Sit quaerat quaerat quiquia tempora consectetur dolorem magnam velit dolor porro magnam quisquam quisquam quaerat aliquam ipsum etincidunt velit magnam tempora quaerat aliquam eius."", ""Velit modi tempora quisquam numquam etincidunt sed dolorem voluptatem modi modi quisquam dolore ut velit est consectetur."", ""Est etincidunt dolorem dolor quisquam modi eius est sit porro dolore dolor non."", ""Eius eius amet modi magnam ut sed quaerat non ut dolor numquam ut dolor labore ut ut numquam."", ""Magnam ut magnam non tempora ut ipsum ipsum amet eius est voluptatem sit numquam."", ""Dolor quaerat non eius ipsum etincidunt amet eius tempora quaerat quiquia etincidunt eius velit sed est velit est ipsum magnam numquam aliquam labore aliquam sed velit modi porro."", ""Consectetur dolor amet ut dolor adipisci quisquam quisquam voluptatem numquam ipsum.""]"
salute,"[""Quiquia"", ""est"", ""sed"", ""quisquam"", ""labore"", ""velit"", ""tempora"", ""numquam"", ""dolor"", ""numquam"", ""dolore"", ""quisquam"", ""numquam"", ""dolor"", ""non"", ""eius"", ""voluptatem"", ""etincidunt"", ""magnam"", ""tempora"", ""sed"", ""dolor""]","[""Quaerat velit non velit ut dolore non eius neque tempora quaerat dolor etincidunt eius non aliquam velit numquam sit adipisci velit quaerat dolore velit quiquia."", ""Dolore aliquam velit dolore non ipsum quisquam velit tempora quisquam magnam quiquia aliquam est eius est consectetur porro voluptatem adipisci."", ""Etincidunt porro modi eius neque dolorem quisquam adipisci quiquia est porro ut sed aliquam consectetur."", ""Adipisci ipsum ipsum aliquam etincidunt neque sit velit adipisci etincidunt adipisci ut dolor velit dolor sed non magnam labore magnam ut quiquia aliquam."", ""Consectetur etincidunt etincidunt amet aliquam consectetur dolore dolore magnam amet non modi labore magnam adipisci quaerat sed voluptatem amet eius neque dolore dolor modi numquam modi ipsum.""]"
