word,cos_dist,count,root_word,instances,status
delighted,1.0,0.818181818181818,delighted,3,Y
ecstatic,1.0,0.954545454545455,ecstatic,3,Y
enchanted,1.0,0.909090909090909,enchanted,4,Y
happy,1.0,0.772727272727273,happy,5,Y
enthusiastic,1.0,0.909090909090909,enthusiastic,1,Y
joyous,1.0,0.954545454545455,joyous,1,Y
excited,0.83025,0.818181818181818,thrilled,3,Y
glad,0.77019,0.545454545454545,happy,11,Y
joy,0.76788,0.954545454545455,joyful,2,Y
passionate,0.76337,0.909090909090909,enthusiastic,1,Y
surprised,0.74538,0.727272727272727,thrilled,10,N
eager,0.73792,0.909090909090909,enthusiastic,2,Y
magical,0.73646,0.727272727272727,enchanted,1,Y
awed,0.73507,0.909090909090909,enraptured,3,Y
hope,0.73184,0.5,happy,12,Y
exultation,0.72403,0.727272727272727,exultant,1,Y
grateful,0.72022,0.818181818181818,thrilled,1,N
amazed,0.71569,0.954545454545455,thrilled,1,Y
cheerful,0.71409,0.954545454545455,joyful,7,Y
astounded,0.70536,0.909090909090909,overjoyed,1,N
disappointed,0.70504,0.727272727272727,thrilled,2,N
enchanting,0.70259,0.818181818181818,enchanted,1,Y
enthusiasm,0.70026,0.909090909090909,enthusiastic,3,Y
gratified,0.69665,0.954545454545455,elated,1,Y
feverish,0.68875,0.818181818181818,delirious,1,Y
breathless,0.68788,0.909090909090909,delirious,3,Y
love,0.68693,0.5,happy,48,N
wish,0.68538,0.5,happy,3,N
lucky,0.67885,0.545454545454545,happy,1,N
feel,0.67688,0.636363636363636,happy,40,N
triumphant,0.67521,0.863636363636364,joyous,1,Y
thank,0.67285,0.409090909090909,happy,8,N
sure,0.66572,0.227272727272727,happy,17,N
dismayed,0.66174,0.818181818181818,overjoyed,1,N
everybody,0.65416,0.636363636363636,happy,10,N
good,0.64988,0.227272727272727,happy,37,N
proud,0.64797,0.5,thrilled,2,N
bewildered,0.64713,0.909090909090909,enraptured,1,N
sad,0.6439,0.727272727272727,happy,8,N
know,0.6432,0.227272727272727,happy,173,N
shocked,0.64314,0.863636363636364,thrilled,2,N
feeling,0.64113,0.863636363636364,happy,3,N
want,0.63908,0.181818181818182,happy,97,N
distraught,0.63842,1.0,overjoyed,1,X
wonderful,0.63824,0.636363636363636,happy,1,Y
magic,0.63518,0.318181818181818,enchanted,2,N
miss,0.63353,0.409090909090909,happy,42,N
elation,0.63237,0.863636363636364,euphoric,1,Y
forget,0.63225,0.5,happy,25,N
stunned,0.63221,0.863636363636364,overjoyed,1,Y
wait,0.63118,0.318181818181818,happy,38,N
remember,0.62877,0.454545454545455,happy,28,N
surprise,0.62824,0.727272727272727,thrilled,8,N
welcome,0.62764,0.454545454545455,happy,3,N
enthusiastically,0.62594,0.863636363636364,enthusiastic,3,Y
fun,0.62578,0.454545454545455,happy,2,N
embarrassed,0.62202,0.772727272727273,overjoyed,4,N
appreciate,0.62191,0.5,happy,1,N
jovial,0.62189,0.909090909090909,joyous,1,Y
terrified,0.62113,0.909090909090909,overjoyed,1,N
ecstatically,0.62065,0.909090909090909,exultant,1,Y
birthday,0.62019,0.409090909090909,happy,1,N
enjoy,0.62001,0.545454545454545,happy,7,Y
confident,0.61504,0.590909090909091,enthusiastic,2,N
nice,0.61325,0.227272727272727,happy,13,N
tranquil,0.61208,0.681818181818182,blissful,1,N
convinced,0.61183,0.545454545454545,thrilled,1,N
definitely,0.60806,0.409090909090909,happy,5,N
think,0.60769,0.227272727272727,happy,122,N
dazed,0.60767,0.818181818181818,delirious,1,Y
thought,0.60743,0.545454545454545,happy,1,N
let,0.60715,0.272727272727273,happy,39,N
disgusted,0.60672,0.818181818181818,elated,1,N
keep,0.60634,0.227272727272727,happy,26,N
dear,0.60592,0.545454545454545,happy,4,N
ecstasy,0.60487,0.818181818181818,euphoric,1,Y
imagine,0.60403,0.772727272727273,happy,5,N
glorious,0.60402,0.954545454545455,joyous,1,Y
fervent,0.60355,0.863636363636364,enthusiastic,1,Y
hysterical,0.60337,0.863636363636364,delirious,1,Y
impassioned,0.60319,0.909090909090909,rapturous,4,Y
sorry,0.60308,0.227272727272727,happy,8,N
busy,0.60261,0.5,happy,2,N
countenance,0.6023,0.727272727272727,beatific,1,N
truly,0.60143,0.772727272727273,thrilled,1,N
great,0.6014,0.363636363636364,happy,28,N
anyway,0.60123,0.136363636363636,happy,1,N
frantic,0.6012,0.909090909090909,delirious,1,N
poignant,0.60034,0.863636363636364,joyous,1,N
laughter,0.60009,0.863636363636364,joyful,13,Y
engrossed,0.60002,0.954545454545455,enraptured,2,Y
laugh,0.6,0.818181818181818,happy,25,Y
friend,0.59915,0.272727272727273,happy,26,N
heady,0.59909,0.727272727272727,euphoric,1,Y
get,0.59894,0.227272727272727,happy,177,N
