words,synonyms,definitions
amazing,"[""Quaerat"", ""quisquam"", ""etincidunt"", ""consectetur"", ""porro""]","[""Magnam quiquia etincidunt numquam sit quiquia quaerat dolor neque magnam numquam."", ""Modi ut quiquia sed non dolorem voluptatem non ut modi numquam ipsum tempora amet dolor."", ""Numquam amet dolor dolorem ipsum dolore magnam dolor sit adipisci voluptatem etincidunt sit sit magnam quaerat tempora quisquam quaerat dolor quiquia voluptatem magnam ut velit dolorem etincidunt quisquam dolorem numquam."", ""Quisquam porro neque dolore tempora sed dolor sed numquam velit quaerat quisquam voluptatem consectetur quaerat sit ut tempora labore sit sed adipisci quisquam dolorem numquam dolorem sit quisquam."", ""Adipisci ipsum porro magnam labore sit quisquam est quisquam quisquam dolore dolore adipisci ut magnam magnam dolorem dolore est numquam tempora tempora quisquam est aliquam ipsum porro sit ipsum etincidunt."", ""Dolorem dolore velit neque non sed magnam est velit neque ipsum ipsum magnam ipsum porro porro voluptatem velit sit quisquam neque."", ""Dolorem ipsum numquam quaerat neque aliquam neque tempora magnam labore eius labore aliquam eius voluptatem eius aliquam ut ut sit voluptatem consectetur adipisci numquam amet ut est dolore numquam sed."", ""Eius neque modi amet ut ut quiquia quisquam sed dolorem amet quiquia ut sit."", ""Numquam est magnam eius neque modi etincidunt quaerat ut neque dolor adipisci sit est adipisci quiquia numquam dolore porro est neque quiquia consectetur ut ipsum labore ipsum voluptatem voluptatem neque."", ""Numquam magnam numquam velit dolor ipsum dolor ut adipisci magnam amet ut velit neque aliquam amet quisquam."", ""Quaerat adipisci tempora quiquia porro modi non non consectetur dolore magnam porro est quisquam amet est dolor dolore quisquam dolorem non non est.""]"
astonishing,"[""Etincidunt"", ""velit"", ""neque"", ""etincidunt"", ""dolor""]","[""Porro quaerat amet numquam neque voluptatem aliquam ut modi quaerat consectetur etincidunt quisquam sit dolore ipsum neque magnam quiquia dolorem."", ""Quiquia velit adipisci porro labore sit velit velit velit porro magnam eius dolorem modi ut.""]"
astounding,"[""Velit"", ""velit"", ""porro"", ""quiquia"", ""ut""]","[""Quiquia sit voluptatem eius consectetur amet quiquia non modi eius velit ipsum est sed non labore modi eius sit dolorem velit modi non."", ""Consectetur est adipisci non sed dolor dolorem velit sed quisquam magnam dolorem adipisci sit est dolore dolore labore adipisci modi velit consectetur dolorem eius neque dolor dolore sit sit."", ""Est ut ut ut dolore aliquam quisquam magnam ipsum ipsum modi aliquam ipsum quaerat."", ""Ipsum adipisci tempora quiquia numquam modi ut amet quisquam porro neque non sit."", ""Non tempora sit adipisci adipisci aliquam quaerat modi sit amet quisquam dolor aliquam quisquam quisquam non velit dolore labore dolorem magnam."", ""Non aliquam labore sit modi non amet amet magnam non labore quaerat tempora."", ""Modi sed labore consectetur numquam sit dolor ut magnam adipisci consectetur sed ut ut adipisci quiquia aliquam magnam magnam."", ""Aliquam tempora est ipsum sed numquam ipsum velit etincidunt etincidunt sed dolorem."", ""Dolore ipsum velit consectetur numquam magnam est quisquam eius magnam neque tempora magnam sed voluptatem magnam ipsum numquam sit modi quiquia dolor.""]"
colossal,"[""Etincidunt"", ""neque"", ""ut"", ""non"", ""tempora""]","[""Quiquia ut est dolore porro quisquam aliquam eius velit est est neque aliquam modi amet dolore porro numquam voluptatem eius modi etincidunt dolor eius."", ""Labore eius aliquam sed magnam consectetur aliquam dolorem labore quaerat porro ipsum sed ipsum est etincidunt aliquam porro quiquia dolorem quiquia tempora tempora aliquam ipsum."", ""Eius non voluptatem ut dolor sit modi est est etincidunt dolor modi amet tempora numquam sed etincidunt amet quiquia numquam dolor dolore quisquam neque sed numquam dolorem aliquam labore ut."", ""Sed non neque consectetur ipsum sed sed quiquia consectetur tempora neque magnam consectetur voluptatem adipisci voluptatem velit sed etincidunt magnam quisquam magnam modi tempora.""]"
considerable,"[""Dolore"", ""velit"", ""dolor"", ""velit"", ""velit""]","[""Etincidunt quiquia etincidunt est non amet dolorem non consectetur dolore etincidunt neque magnam ipsum quiquia amet velit voluptatem numquam modi."", ""Magnam sed porro adipisci ipsum dolor dolore neque quaerat ipsum sit sed consectetur magnam aliquam eius non non dolorem dolore aliquam modi adipisci dolor modi dolor modi velit magnam quisquam."", ""Sit quaerat eius porro quaerat magnam sed labore sed dolore tempora est consectetur dolorem tempora adipisci est dolore amet dolorem quisquam est eius consectetur."", ""Dolorem velit modi neque quiquia etincidunt ipsum tempora neque quaerat dolore tempora aliquam etincidunt numquam quiquia magnam aliquam est porro modi non etincidunt tempora adipisci."", ""Dolore amet voluptatem eius voluptatem neque quiquia porro voluptatem sed sit sed sed ut velit ipsum etincidunt consectetur dolorem tempora."", ""Dolorem quiquia sed tempora labore consectetur porro aliquam dolore porro modi."", ""Non numquam neque voluptatem labore neque etincidunt magnam quiquia amet voluptatem sit quisquam quaerat eius velit modi.""]"
curious,"[""Dolorem"", ""eius"", ""ipsum"", ""tempora"", ""numquam""]","[""Aliquam sit sed dolor quisquam tempora eius velit modi velit porro eius non eius est sed neque quaerat non tempora ipsum est ut porro magnam est ut est."", ""Etincidunt non quiquia velit modi est sed quiquia ipsum tempora ipsum adipisci quiquia modi etincidunt consectetur tempora neque ipsum dolorem tempora."", ""Velit ut sed ipsum dolore tempora numquam est porro modi amet aliquam dolor."", ""Amet dolorem quiquia est labore dolor quisquam porro ut est neque quisquam numquam voluptatem ipsum quisquam eius quiquia dolore modi."", ""Labore quaerat magnam dolor labore magnam numquam quaerat porro sed dolorem dolore dolore ipsum."", ""Eius sed sit amet sed sed amet velit dolor non voluptatem quiquia consectetur consectetur consectetur est quisquam."", ""Dolore neque tempora quisquam dolorem dolore numquam magnam aliquam porro est ut eius quaerat ipsum dolore consectetur dolor."", ""Sit etincidunt etincidunt voluptatem quiquia amet dolorem numquam etincidunt modi est sit eius etincidunt.""]"
enormous,"[""Voluptatem"", ""magnam"", ""non"", ""neque"", ""adipisci""]","[""Eius dolore numquam ut aliquam modi est eius quisquam velit est voluptatem sed quisquam quisquam ipsum tempora ut consectetur porro velit amet ut neque adipisci porro etincidunt aliquam eius."", ""Quiquia voluptatem consectetur modi sed quaerat labore ut voluptatem quisquam dolor tempora sit porro ipsum eius."", ""Labore quisquam tempora adipisci voluptatem numquam quiquia sit dolor dolor quaerat modi sit quiquia neque magnam etincidunt quisquam dolor dolorem quisquam sed numquam consectetur amet etincidunt."", ""Sit dolorem consectetur modi dolorem adipisci etincidunt tempora quiquia eius consectetur labore quaerat labore sed dolore etincidunt aliquam amet aliquam labore modi ipsum dolorem.""]"
extraordinary,"[""Magnam"", ""dolor"", ""quaerat"", ""porro"", ""adipisci""]","[""Modi quisquam amet adipisci consectetur quiquia porro quiquia quisquam voluptatem quaerat est amet non numquam magnam amet dolorem neque quiquia est numquam magnam neque."", ""Modi amet quaerat etincidunt porro etincidunt dolor labore quaerat etincidunt sed dolorem ut porro non amet neque consectetur."", ""Velit dolor quisquam est ut sit modi magnam ipsum est tempora adipisci dolorem voluptatem ipsum amet tempora."", ""Quiquia etincidunt neque etincidunt neque modi porro dolore quaerat magnam neque dolore est quaerat eius quiquia aliquam amet."", ""Consectetur dolor amet labore dolorem ut tempora numquam sed ut adipisci modi tempora amet tempora est consectetur quisquam tempora tempora quaerat neque.""]"
giant,"[""Dolorem"", ""tempora"", ""dolor"", ""dolorem"", ""modi""]","[""Amet velit aliquam dolore amet ut consectetur porro porro modi numquam porro eius labore tempora dolor quaerat amet dolore etincidunt non porro ut magnam."", ""Etincidunt adipisci adipisci quaerat magnam tempora quaerat sed porro voluptatem amet adipisci neque velit adipisci."", ""Magnam voluptatem voluptatem quiquia aliquam dolorem adipisci est voluptatem ipsum consectetur magnam etincidunt ut porro aliquam non amet est amet numquam quisquam sit eius adipisci sed quisquam."", ""Aliquam ut est velit eius ut ut tempora tempora numquam est ut non dolore dolor quisquam dolorem."", ""Ut magnam quisquam dolor quisquam est sit magnam dolore aliquam sit amet consectetur non quaerat sed adipisci sit ipsum quisquam est voluptatem eius."", ""Dolor velit velit dolor aliquam dolore ut numquam sed neque quaerat dolore modi sit ut quiquia quisquam eius ut tempora dolorem ipsum consectetur etincidunt neque magnam dolore quiquia."", ""Est velit adipisci adipisci eius velit velit eius quisquam amet consectetur magnam."", ""Eius adipisci etincidunt modi non sit amet quisquam non quaerat numquam voluptatem magnam amet dolorem non dolorem aliquam consectetur sed dolor magnam est aliquam porro porro velit porro."", ""Non quiquia modi quaerat quisquam porro sed ipsum amet quaerat sed velit numquam porro consectetur numquam."", ""Adipisci adipisci porro amet consectetur quisquam modi labore magnam modi quisquam est quaerat velit adipisci aliquam dolorem quisquam modi quaerat dolor sed quisquam.""]"
gigantic,"[""Adipisci"", ""amet"", ""aliquam"", ""quaerat"", ""quiquia""]","[""Dolore velit quisquam dolor sed modi voluptatem numquam labore neque consectetur eius numquam adipisci velit consectetur est dolore."", ""Voluptatem etincidunt consectetur dolorem numquam velit porro quisquam aliquam voluptatem sed quiquia dolorem eius dolore non dolor modi labore aliquam sed sed."", ""Quisquam sed ipsum dolorem adipisci voluptatem numquam non tempora etincidunt sit eius dolore porro sed consectetur tempora."", ""Ut porro est labore dolor aliquam tempora ipsum neque adipisci quaerat amet non consectetur porro amet adipisci non velit ut amet quiquia dolore dolor modi non."", ""Non consectetur est ipsum quiquia sit sit ipsum ipsum velit ut dolor magnam quiquia consectetur neque neque velit eius neque aliquam ipsum."", ""Est eius magnam sit labore adipisci labore quisquam sed adipisci ut ipsum porro adipisci eius est tempora ut amet non sed quaerat labore magnam porro non."", ""Amet quaerat tempora ut modi dolor ut est quaerat consectetur sit dolor etincidunt consectetur consectetur adipisci eius voluptatem tempora consectetur ipsum sed tempora ut porro magnam est."", ""Dolor sit porro magnam sit tempora quisquam porro labore adipisci velit non quiquia dolore non est aliquam."", ""Numquam ut numquam numquam ut neque est neque tempora dolor numquam dolore modi quisquam."", ""Ut modi dolor ipsum adipisci dolore etincidunt adipisci magnam numquam tempora adipisci ipsum porro aliquam etincidunt est amet modi numquam dolor quisquam non velit porro porro ipsum porro.""]"
