sentence_index,chapter,sentence_number,word,word_lc,lemma,lemma_lc,pos,ent_type,ent_iob,stop_wd
1,1,0, , , , ,SPACE,not_ent,O,False
1,1,0,I,i,I,i,PRON,not_ent,O,True
1,1,0,In,in,in,in,ADP,not_ent,O,True
1,1,0,my,my,my,my,PRON,not_ent,O,True
1,1,0,younger,younger,young,young,ADJ,not_ent,O,False
1,1,0,and,and,and,and,CCONJ,not_ent,O,True
1,1,0,more,more,more,more,ADV,not_ent,O,True
1,1,0,vulnerable,vulnerable,vulnerable,vulnerable,ADJ,not_ent,O,False
1,1,0,years,years,year,year,NOUN,not_ent,O,False
1,1,0,my,my,my,my,PRON,not_ent,O,True
1,1,0,father,father,father,father,NOUN,not_ent,O,False
1,1,0,gave,gave,give,give,VERB,not_ent,O,False
1,1,0,me,me,I,i,PRON,not_ent,O,True
1,1,0,some,some,some,some,DET,not_ent,O,True
1,1,0,advice,advice,advice,advice,NOUN,not_ent,O,False
1,1,0,that,that,that,that,PRON,not_ent,O,True
1,1,0,I,i,I,i,PRON,not_ent,O,True
1,1,0,’ve,’ve,’ve,’ve,AUX,not_ent,O,True
1,1,0,been,been,be,be,AUX,not_ent,O,True
1,1,0,turning,turning,turn,turn,VERB,not_ent,O,False
1,1,0,over,over,over,over,ADP,not_ent,O,True
1,1,0,in,in,in,in,ADP,not_ent,O,True
1,1,0,my,my,my,my,PRON,not_ent,O,True
1,1,0,mind,mind,mind,mind,NOUN,not_ent,O,False
1,1,0,ever,ever,ever,ever,ADV,not_ent,O,True
1,1,0,since,since,since,since,ADV,not_ent,O,True
1,1,0,.,.,.,.,PUNCT,not_ent,O,False
2,1,1,“,“,"""","""",PUNCT,not_ent,O,False
2,1,1,Whenever,whenever,whenever,whenever,SCONJ,not_ent,O,True
2,1,1,you,you,you,you,PRON,not_ent,O,True
2,1,1,feel,feel,feel,feel,VERB,not_ent,O,False
2,1,1,like,like,like,like,ADP,not_ent,O,False
2,1,1,criticizing,criticizing,criticize,criticize,VERB,not_ent,O,False
2,1,1,anyone,anyone,anyone,anyone,PRON,not_ent,O,True
2,1,1,",",",",",",",",PUNCT,not_ent,O,False
2,1,1,”,”,"""","""",PUNCT,not_ent,O,False
2,1,1,he,he,he,he,PRON,not_ent,O,True
2,1,1,told,told,tell,tell,VERB,not_ent,O,False
2,1,1,me,me,I,i,PRON,not_ent,O,True
2,1,1,",",",",",",",",PUNCT,not_ent,O,False
2,1,1,“,“,"""","""",PUNCT,not_ent,O,False
2,1,1,just,just,just,just,ADV,not_ent,O,True
2,1,1,remember,remember,remember,remember,VERB,not_ent,O,False
2,1,1,that,that,that,that,SCONJ,not_ent,O,True
2,1,1,all,all,all,all,DET,not_ent,O,True
2,1,1,the,the,the,the,DET,not_ent,O,True
2,1,1,people,people,people,people,NOUN,not_ent,O,False
2,1,1,in,in,in,in,ADP,not_ent,O,True
