word_lc,cos_dist,count,root_word,lemma_count
lighted,1.0,0.9,lighted,3
dazzling,1.0,1.0,dazzling,1
glowing,1.0,1.0,glowing,1
vivid,1.0,1.0,vivid,4
intense,1.0,0.9,intense,3
brilliant,1.0,1.0,brilliant,1
bright,1.0,1.0,bright,17
radiant,1.0,1.0,radiant,3
glow,0.73938,1.0,glowing,9
radiantly,0.72362,0.95,radiant,1
fantastic,0.72001,0.7,brilliant,7
gleam,0.69471,1.0,gleaming,7
marvellous,0.69067,0.8,brilliant,1
clever,0.66645,0.4,brilliant,1
vividly,0.66617,0.95,vivid,1
illuminate,0.6616,0.95,illuminated,1
glorious,0.6604,1.0,resplendent,1
shine,0.65707,1.0,shining,8
sparkling,0.65522,1.0,dazzling,2
splendid,0.65042,1.0,brilliant,2
intensity,0.62942,0.8,intense,5
cheerful,0.62706,1.0,bright,7
splendour,0.62605,0.95,resplendent,2
enchanting,0.6237,1.0,dazzling,1
fierce,0.62359,0.8,intense,1
wonderful,0.62042,0.7,brilliant,1
amazing,0.62011,0.7,brilliant,2
majestic,0.61016,0.95,resplendent,1
sumptuous,0.60649,1.0,resplendent,1
glisten,0.60588,1.0,gleaming,4
vibrant,0.60198,1.0,bright,1
luminosity,0.60095,0.95,luminous,1
astonishing,0.59871,0.85,dazzling,1
remarkable,0.59432,0.8,brilliant,1
light,0.59143,1.0,bright,58
glint,0.58848,1.0,gleaming,2
regal,0.57663,0.85,resplendent,1
thrilling,0.57327,0.65,scintillating,3
lovely,0.57046,0.85,brilliant,10
great,0.57005,0.6,brilliant,28
gaudily,0.56854,0.95,resplendent,1
startlingly,0.56785,0.95,vivid,2
gaudy,0.56568,0.95,resplendent,1
impressive,0.56414,0.8,dazzling,2
prolonged,0.56205,0.35,intense,1
sunny,0.56083,0.75,bright,1
astounding,0.5607,0.75,dazzling,1
startling,0.5573,0.9,dazzling,1
extraordinary,0.55608,0.85,dazzling,4
witty,0.55467,0.8,brilliant,1
gorgeous,0.55447,1.0,brilliant,5
ferocious,0.55256,0.85,intense,2
dark,0.55222,1.0,bright,26
dim,0.55012,1.0,bright,9
lustreless,0.54943,0.95,lustrous,1
incomparable,0.54578,0.85,dazzling,1
blue,0.54477,0.95,bright,21
sun,0.54183,0.75,shining,15
relentless,0.5409,0.8,intense,1
beautiful,0.54078,0.9,brilliant,7
irresistible,0.54037,0.85,dazzling,3
sparkle,0.53755,1.0,dazzling,1
elegant,0.53705,0.95,dazzling,2
yellow,0.5346,0.9,bright,23
sensuous,0.53349,1.0,scintillating,2
profusion,0.53242,1.0,resplendent,1
unforgettable,0.53216,0.85,dazzling,1
dramatic,0.53073,0.95,dazzling,1
extraordinarily,0.52821,0.85,brilliant,1
redolent,0.525,1.0,resplendent,2
crisp,0.51907,1.0,bright,2
sunshine,0.51749,0.95,shining,4
crimson,0.51475,1.0,resplendent,3
impressively,0.51388,0.9,dazzling,1
poignant,0.51171,0.85,vivid,1
lamp,0.51157,0.6,incandescent,2
dimly,0.51056,0.85,lit,2
unusually,0.51048,0.9,intense,2
unbelievable,0.50843,0.65,brilliant,1
shrewd,0.50522,0.65,brilliant,1
frantic,0.50457,0.7,intense,1
brightness,0.50401,1.0,luminous,1
red,0.50173,1.0,bright,9
rosy,0.50088,0.95,bright,6
blinding,0.50067,1.0,dazzling,1
extreme,0.4993,0.2,intense,1
metallic,0.49841,0.95,luminescent,2
lavish,0.49793,0.8,resplendent,1
moonlight,0.49746,1.0,shining,6
candle,0.49578,0.55,lighted,3
intricate,0.49474,0.85,dazzling,1
green,0.49337,0.9,bright,17
radiate,0.4933,0.9,radiant,1
milky,0.4933,1.0,luminous,1
orange,0.49124,0.95,bright,4
slender,0.49121,0.95,lustrous,5
smooth,0.49062,0.65,lustrous,1
charming,0.48722,0.85,brilliant,4
extravagantly,0.48665,1.0,resplendent,1
pale,0.48585,0.95,bright,14
feverish,0.48507,0.85,intense,1
gloomy,0.48443,1.0,bright,1
visible,0.48399,0.85,illuminated,4
spectacle,0.48346,0.9,dazzling,2
intriguing,0.48241,0.7,brilliant,2
florid,0.48209,0.9,resplendent,2
tapestried,0.48147,0.9,resplendent,1
dull,0.48101,1.0,bright,3
deft,0.48016,0.75,dazzling,2
turgid,0.47985,0.85,coruscating,1
harrowing,0.47971,0.4,vivid,1
triumphant,0.47938,0.85,resplendent,1
melodious,0.47915,1.0,scintillating,1
graceful,0.47886,1.0,dazzling,2
lamplight,0.47799,0.9,lit,1
delicate,0.47652,0.95,lustrous,1
sunlight,0.47531,0.95,shining,5
pink,0.47362,0.95,bright,6
glory,0.47301,0.75,resplendent,1
hazy,0.47254,1.0,vivid,1
yellowy,0.47217,0.9,bright,1
joyous,0.47204,1.0,resplendent,1
violent,0.47086,0.4,intense,5
sharp,0.47068,0.75,bright,8
astonish,0.47046,0.55,dazzling,1
ghastly,0.46885,0.95,resplendent,2
riotous,0.46877,0.8,dazzling,2
faint,0.46725,1.0,bright,12
perfect,0.46672,0.55,brilliant,4
modish,0.46665,0.85,dazzling,1
sophisticated,0.46622,0.7,dazzling,2
expanse,0.46535,0.9,gleaming,1
warm,0.4646,0.95,bright,12
quieter,0.46373,0.25,bright,1
ghostly,0.46309,0.95,phosphorescent,6
haunting,0.46267,1.0,vivid,1
murmurous,0.46266,1.0,coruscating,2
complexion,0.4613,0.8,radiant,1
fervent,0.46098,0.8,intense,1
soft,0.46097,1.0,lustrous,8
hulking,0.46088,0.7,gleaming,1
alight,0.46051,0.8,lit,1
good,0.46038,0.4,brilliant,37
impassioned,0.46003,0.85,intense,4
funny,0.45996,0.3,brilliant,11
magical,0.45987,0.9,dazzling,1
racy,0.45961,0.8,scintillating,2
smart,0.459,0.45,brilliant,1
bleak,0.45865,1.0,bright,1
ambitious,0.45643,0.5,brilliant,2
thick,0.45438,0.9,lustrous,8
caterwaul,0.4527,0.35,coruscating,1
hilariously,0.45042,0.6,brilliant,2
truly,0.4504,0.6,brilliant,1
heady,0.45013,0.8,scintillating,1
gaudiness,0.44989,0.9,resplendent,1
strong,0.4487,0.55,intense,2
darkness,0.44815,0.9,illuminated,9
creative,0.44776,0.35,brilliant,2
languid,0.44752,0.95,scintillating,1
slightly,0.44746,0.35,bright,9
nice,0.44701,0.7,bright,13
heavy,0.44637,0.4,intense,1
incessant,0.44591,0.5,intense,3
gigantic,0.44545,1.0,gleaming,1
tumultuous,0.44508,0.7,intense,2
exciting,0.44443,0.55,brilliant,3
sustained,0.44434,0.25,intense,1
ashen,0.44418,0.85,gleaming,2
formidable,0.4438,0.7,dazzling,1
colossal,0.44303,0.85,dazzling,4
aggressive,0.44293,0.3,intense,1
ecstatically,0.44291,0.95,resplendent,1
rich,0.44283,0.8,lustrous,10
deep,0.44185,0.7,intense,14
darken,0.44121,0.7,bright,2
sky,0.44045,0.9,shining,9
harsh,0.44015,0.6,intense,4
amorphous,0.43899,0.9,phosphorescent,1
unmistakable,0.43895,0.95,gleaming,2
irresistibly,0.43861,1.0,dazzling,1
passionate,0.43859,0.55,intense,1
fire,0.43844,0.55,lit,5
neat,0.43808,0.65,brilliant,1
powerful,0.43803,0.85,intense,2
singularly,0.43787,1.0,brilliant,1
silver,0.43776,0.85,lustrous,11
sombre,0.43751,1.0,resplendent,1
twinkle,0.43741,0.9,shining,3
warmth,0.43661,0.95,radiant,2
breathless,0.4365,0.85,dazzling,3
stormily,0.43644,0.8,coruscating,1
profound,0.43631,0.8,intense,4
fresher,0.43504,0.2,bright,1
furious,0.43488,0.55,intense,1
frosted,0.43446,0.95,illuminated,1
marvel,0.4343,0.8,dazzling,2
fresh,0.43428,0.75,bright,8
interesting,0.43418,0.35,brilliant,5
bitter,0.43413,0.45,intense,1
appalling,0.43395,0.45,brilliant,1
white,0.43389,0.85,bright,47
overwhelming,0.43256,0.25,intense,2
excitement,0.43232,0.7,intense,7
jaunty,0.43181,0.9,resplendent,2
handsome,0.43173,0.85,bright,3
colourless,0.43149,1.0,luminous,1
pomp,0.43143,0.75,resplendent,1
excitingly,0.43097,0.85,scintillating,1
transcendent,0.43087,0.85,luminous,1
golden,0.4306,0.95,lustrous,5
tranquil,0.43004,1.0,resplendent,1
attractively,0.42999,0.9,resplendent,1
ferociously,0.42943,0.9,intense,1
heat,0.42903,0.4,radiant,14
frightening,0.42882,0.75,vivid,2
enchanted,0.42771,0.95,dazzling,4
dignified,0.42749,0.85,resplendent,4
expressive,0.42735,0.9,vivid,1
sprawling,0.42715,0.65,gleaming,1
extravaganza,0.42686,0.5,dazzling,1
innumerable,0.42676,0.9,dazzling,3
dripping,0.42659,0.95,gleaming,1
terrible,0.42641,0.35,brilliant,9
hair,0.42639,0.3,lustrous,22
ineffable,0.42605,0.85,luminous,1
meretricious,0.42602,0.85,resplendent,1
unprecedented,0.426,0.55,dazzling,1
awful,0.42586,0.4,brilliant,4
unutterably,0.42552,0.9,resplendent,1
humorous,0.42537,0.5,brilliant,1
pungent,0.42521,1.0,vivid,1
less,0.42448,0.35,bright,13
flame,0.42446,0.8,incandescent,1
sweet,0.42438,0.8,bright,2
forlorn,0.42428,0.95,resplendent,1
enormous,0.42413,0.95,dazzling,11
skin,0.42326,0.45,radiant,4
bizarre,0.42305,0.75,brilliant,3
thin,0.42273,0.65,lustrous,8
imagination,0.42269,0.3,vivid,2
intimate,0.42141,0.75,intense,5
pleasant,0.42138,0.75,bright,6
corpulent,0.42137,0.65,resplendent,1
magnanimous,0.4213,0.85,resplendent,1
subdued,0.42094,1.0,intense,1
sheer,0.42081,0.85,dazzling,3
subtle,0.4204,0.85,dazzling,1
constant,0.42035,0.4,intense,4
disquieting,0.41997,0.9,vivid,1
portentous,0.41967,0.9,coruscating,2
faintly,0.4195,1.0,glowing,10
opal,0.41917,0.9,luminescent,1
marble,0.41848,0.75,gleaming,5
romp,0.41822,0.35,scintillating,1
clear,0.41796,0.8,bright,4
dressed,0.41784,0.55,resplendent,1
prosperous,0.41774,0.55,bright,1
mellow,0.41748,0.95,bright,1
jewel,0.41735,0.85,resplendent,2
silk,0.41682,0.55,lustrous,3
leaden,0.4167,0.95,coruscating,1
rancour,0.41646,0.25,coruscating,1
strident,0.41594,0.75,coruscating,1
pretty,0.41593,0.65,bright,14
tremendous,0.41564,0.65,brilliant,2
enormously,0.41552,0.35,brilliant,1
unmistakably,0.41534,1.0,resplendent,1
delight,0.41507,0.75,dazzling,2
clean,0.41475,0.55,bright,4
amaze,0.41432,0.15,dazzling,1
continual,0.41416,0.45,intense,1
sensuously,0.41408,1.0,luminous,1
awed,0.41394,0.9,dazzling,3
luxuriate,0.41318,0.65,resplendent,1
brave,0.41316,0.5,brilliant,2
brittle,0.41313,0.75,lustrous,1
surprisingly,0.41304,0.55,brilliant,3
durable,0.41299,0.75,lustrous,1
vigour,0.41262,0.8,coruscating,1
swank,0.41224,0.6,gleaming,1
enthusiastic,0.41216,0.65,brilliant,1
deathless,0.41158,0.8,resplendent,1
turbaned,0.41065,0.7,resplendent,1
savour,0.41039,0.4,scintillating,1
generous,0.40984,0.6,brilliant,1
acute,0.40868,0.45,intense,2
ectoplasm,0.40847,0.4,phosphorescent,1
triumphantly,0.40846,0.65,resplendent,2
astounded,0.40842,0.55,brilliant,1
hue,0.40828,1.0,lustrous,1
persistent,0.4082,0.5,intense,5
uncontrollable,0.40775,0.3,intense,1
rapid,0.4071,0.5,intense,1
beauty,0.40647,0.6,radiant,7
delighted,0.4064,0.5,brilliant,3
menacing,0.40623,1.0,gleaming,1
colour,0.40539,0.85,bright,15
future,0.40526,0.1,bright,5
monstrous,0.40493,0.85,dazzling,1
tense,0.40489,0.35,intense,3
absolutely,0.40379,0.35,brilliant,8
coloured,0.40338,0.95,bright,5
unusual,0.40312,0.6,brilliant,3
flurry,0.40306,0.65,scintillating,1
starlight,0.40279,0.85,illuminated,1
delicately,0.4024,0.95,lustrous,2
inky,0.40182,1.0,luminous,1
vast,0.40148,0.7,dazzling,3
utterly,0.40104,0.85,brilliant,4
expostulation,0.40091,0.2,coruscating,1
peculiarly,0.39996,0.95,resplendent,2
bleared,0.39967,0.95,gleaming,1
electric,0.39888,0.65,incandescent,3
jauntiness,0.39882,0.75,coruscating,1
threadbare,0.3987,0.6,resplendent,1
frosty,0.39797,1.0,glowing,1
emotion,0.39775,0.45,intense,8
rivalry,0.3977,0.05,intense,1
spidery,0.39727,0.9,phosphorescent,1
gaze,0.39709,0.9,gleaming,2
evoke,0.39675,0.8,vivid,1
saunter,0.39644,0.55,gleaming,3
unpleasant,0.39636,0.45,intense,2
agonizingly,0.39634,0.7,intense,1
haughty,0.39628,0.75,resplendent,2
dishevel,0.39541,0.45,lustrous,1
contrast,0.39509,0.75,vivid,1
fireplace,0.39496,0.3,lighted,1
pearl,0.39493,0.55,lustrous,4
earnest,0.3948,0.75,intense,1
eyed,0.39477,0.7,gleaming,5
blond,0.39476,0.8,lustrous,2
soothing,0.39438,0.9,radiant,1
massive,0.39401,0.55,dazzling,1
exhilarate,0.39396,0.35,dazzling,1
grotesque,0.393,0.9,resplendent,6
cool,0.39297,0.6,bright,16
unashamed,0.39277,0.8,resplendent,1
slenderly,0.39263,0.85,lustrous,1
famous,0.39226,0.55,brilliant,3
fiercely,0.39215,0.8,intense,1
tension,0.39211,0.05,intense,1
smoky,0.39195,1.0,luminous,1
unforgivably,0.39179,0.5,brilliant,1
countenance,0.39161,0.95,resplendent,1
flicker,0.39119,0.85,incandescent,3
positively,0.39093,0.9,glowing,1
shrill,0.39088,0.75,coruscating,3
gray,0.39067,0.75,bright,1
glamour,0.3902,0.7,dazzling,1
brown,0.39018,0.7,bright,7
ecstatic,0.38985,0.85,glowing,3
positive,0.38984,0.45,glowing,1
frequent,0.38946,0.1,intense,1
turbulent,0.38942,0.65,intense,2
savage,0.38928,0.7,coruscating,2
sullen,0.38898,1.0,gleaming,1
cute,0.38884,0.2,bright,2
chartreuse,0.38874,0.9,phosphorescent,1
coolly,0.38841,0.9,coruscating,2
fashionably,0.38838,0.75,resplendent,2
unnaturally,0.38818,0.95,bright,1
haired,0.38805,0.75,lustrous,2
solid,0.388,0.85,bright,2
braided,0.38789,0.4,lustrous,1
grey,0.38762,0.85,bright,18
pure,0.38719,0.9,lustrous,1
attire,0.38716,0.2,resplendent,1
solemn,0.38688,0.95,resplendent,7
particularly,0.3867,0.35,intense,1
stare,0.38645,0.9,gleaming,23
absorbing,0.38601,0.8,scintillating,2
beaded,0.38584,0.85,lustrous,1
reverent,0.38566,0.85,resplendent,1
exultation,0.38536,0.9,coruscating,1
mirror,0.38512,0.65,illuminated,5
surprising,0.38501,0.45,brilliant,3
crescendo,0.38497,0.45,coruscating,1
bewitch,0.3846,0.6,dazzling,1
laudable,0.38441,0.45,brilliant,1
considerable,0.38406,0.45,intense,1
cigarette,0.38395,0.4,lit,10
young,0.38378,0.45,bright,48
boast,0.38371,0.6,dazzling,1
chandelier,0.3837,0.85,incandescent,1
vitality,0.38361,0.8,radiant,5
decent,0.38355,0.35,brilliant,1
spectroscopic,0.38336,0.4,luminescent,1
devoid,0.38295,1.0,resplendent,1
throbbing,0.3828,0.9,gleaming,1
bloody,0.38252,0.55,brilliant,1
scrutiny,0.38206,0.15,intense,1
quiet,0.3817,0.7,bright,6
shade,0.38155,0.85,bright,5
uncomfortably,0.38154,0.5,intense,2
highly,0.38151,0.5,brilliant,1
endless,0.38141,0.8,dazzling,1
smoke,0.38082,0.5,lit,7
thrill,0.38081,0.55,dazzling,3
straightforward,0.38049,0.4,brilliant,1
passion,0.3802,0.45,intense,1
unexpected,0.38015,0.5,dazzling,3
horrible,0.38002,0.25,brilliant,2
powdery,0.38002,0.7,lustrous,1
boisterously,0.37992,0.8,resplendent,1
malevolence,0.37968,0.75,coruscating,1
tremendously,0.37927,0.3,brilliant,1
clamorously,0.37923,0.55,resplendent,1
inexhaustible,0.37898,0.9,dazzling,2
beneath,0.37879,0.75,gleaming,6
mysterious,0.37832,0.9,luminous,2
cynical,0.3782,0.65,brilliant,2
breathlessly,0.37772,0.8,gleaming,3
star,0.37769,0.85,shining,10
tanned,0.37723,0.65,lustrous,2
simple,0.37705,0.6,brilliant,3
crystal,0.37704,0.9,luminescent,1
haze,0.377,0.95,phosphorescent,1
electricity,0.37698,0.3,incandescent,1
shadowy,0.37672,1.0,gleaming,1
mist,0.37657,0.85,phosphorescent,2
