words,synonyms,definitions
uniform,"[""Magnam"", ""consectetur"", ""consectetur"", ""ipsum"", ""sit"", ""dolorem"", ""labore"", ""non"", ""aliquam"", ""consectetur"", ""sed"", ""porro"", ""numquam"", ""non"", ""modi"", ""quiquia"", ""amet"", ""aliquam"", ""porro"", ""labore"", ""quisquam"", ""quiquia"", ""labore""]","[""Sit magnam eius adipisci adipisci numquam sed numquam velit labore voluptatem porro labore velit numquam etincidunt dolorem sit eius quiquia dolor sed aliquam velit aliquam quaerat aliquam."", ""Numquam adipisci magnam amet ut magnam est etincidunt dolorem consectetur ut ipsum modi dolorem amet dolorem aliquam voluptatem consectetur."", ""Est est eius velit porro dolorem ipsum quaerat eius ut porro neque etincidunt porro numquam tempora dolore non amet quiquia quiquia dolor eius dolore quiquia quaerat dolor aliquam dolorem."", ""Adipisci amet aliquam porro porro non ipsum adipisci numquam amet amet voluptatem quiquia etincidunt adipisci magnam adipisci modi modi sed est porro non."", ""Magnam aliquam modi numquam tempora adipisci voluptatem dolor dolorem ut eius.""]"
incredulity,"[""Dolorem"", ""voluptatem"", ""sed"", ""aliquam"", ""est"", ""etincidunt"", ""velit"", ""sed"", ""velit"", ""quiquia"", ""porro"", ""magnam"", ""sed"", ""velit""]","[""Est quaerat aliquam porro amet velit dolor non neque etincidunt amet magnam labore sed sed dolor ut porro dolore etincidunt est velit sed aliquam quaerat voluptatem modi etincidunt neque.""]"
mischief,"[""Quisquam"", ""modi"", ""eius"", ""dolore"", ""ut"", ""amet"", ""etincidunt"", ""magnam"", ""tempora"", ""etincidunt"", ""magnam"", ""porro"", ""quiquia"", ""sed"", ""dolore"", ""ut"", ""voluptatem"", ""tempora"", ""dolore"", ""quisquam"", ""adipisci"", ""aliquam""]","[""Ipsum sit quisquam ut numquam labore ut magnam numquam tempora sed numquam sed quiquia quisquam labore sit ut porro non dolorem porro labore ipsum sit velit."", ""Quaerat magnam dolore magnam consectetur dolore dolor modi etincidunt sed adipisci neque velit sit quiquia numquam dolorem dolorem quaerat ipsum sed est ipsum porro ut porro dolor adipisci.""]"
englishman,"[""Amet"", ""neque"", ""sit"", ""modi"", ""dolorem"", ""ut"", ""modi"", ""aliquam"", ""quaerat"", ""magnam"", ""numquam"", ""amet"", ""neque"", ""quisquam"", ""porro"", ""tempora"", ""sed"", ""aliquam"", ""quisquam"", ""velit"", ""ut"", ""porro"", ""consectetur"", ""ipsum"", ""dolorem"", ""amet"", ""velit""]","[""Velit quiquia dolor magnam neque amet porro non modi labore adipisci sit neque ut."", ""Est eius voluptatem dolor neque aliquam tempora modi non dolore quiquia est modi ut modi neque ut quaerat sed non quaerat neque tempora est dolor sit quaerat aliquam magnam porro."", ""Quisquam quiquia porro porro quisquam dolore velit consectetur sed quisquam aliquam eius consectetur voluptatem numquam amet porro porro ipsum etincidunt porro velit adipisci."", ""Non est amet non etincidunt magnam eius voluptatem neque quiquia quaerat labore modi adipisci quisquam velit dolore."", ""Non velit neque ut eius quiquia eius porro sed adipisci neque etincidunt dolore quaerat dolore dolor velit voluptatem porro magnam."", ""Aliquam consectetur quaerat sed magnam aliquam labore velit ut magnam consectetur quaerat."", ""Amet sit porro eius adipisci dolorem amet non numquam sit quisquam quiquia est etincidunt modi quiquia adipisci sit adipisci dolor porro voluptatem sed porro neque.""]"
telephone,"[""Etincidunt"", ""labore"", ""dolor"", ""quiquia"", ""amet"", ""neque"", ""neque"", ""aliquam"", ""dolorem"", ""labore"", ""magnam"", ""amet"", ""magnam"", ""ipsum"", ""eius"", ""quiquia"", ""quisquam"", ""est""]","[""Modi adipisci sit est neque voluptatem non aliquam modi ipsum velit quaerat sit consectetur consectetur ut labore ipsum adipisci."", ""Consectetur neque tempora adipisci sed adipisci adipisci est quisquam non porro eius amet sed porro magnam.""]"
throbbing,"[""Modi"", ""adipisci"", ""est"", ""modi"", ""ut"", ""quisquam"", ""adipisci"", ""quisquam"", ""modi"", ""adipisci"", ""dolor"", ""velit"", ""amet"", ""dolor"", ""porro"", ""quisquam"", ""tempora"", ""amet"", ""est"", ""aliquam"", ""aliquam"", ""quisquam"", ""sed"", ""dolore"", ""sed"", ""est"", ""numquam"", ""amet"", ""voluptatem"", ""quaerat"", ""modi"", ""non"", ""tempora"", ""dolore"", ""etincidunt""]","[""Amet sed quaerat quisquam quaerat dolor etincidunt quiquia tempora consectetur voluptatem dolor porro."", ""Porro porro dolor numquam amet sit sit labore ut amet dolore tempora amet tempora magnam quisquam dolore porro consectetur dolor."", ""Adipisci consectetur velit amet neque modi eius quisquam amet dolor modi quaerat ipsum neque."", ""Sit non neque dolor tempora numquam quisquam numquam quiquia quiquia labore sit."", ""Consectetur amet numquam aliquam ut etincidunt sit etincidunt magnam aliquam est dolor quiquia porro etincidunt quisquam labore sed dolor est voluptatem labore dolore sit quiquia."", ""Labore aliquam magnam aliquam magnam sit neque velit tempora ipsum non dolor neque eius eius consectetur labore ipsum ipsum dolor quiquia est porro.""]"
redolent,"[""Voluptatem"", ""numquam"", ""dolore"", ""dolorem"", ""dolor"", ""aliquam"", ""quiquia"", ""eius"", ""neque"", ""eius"", ""adipisci"", ""modi"", ""sed"", ""sit"", ""modi"", ""aliquam"", ""adipisci"", ""dolore"", ""sit"", ""ipsum"", ""tempora"", ""porro"", ""porro"", ""amet"", ""etincidunt""]","[""Magnam numquam sed adipisci eius est aliquam voluptatem eius quiquia."", ""Consectetur numquam quiquia numquam dolore dolorem etincidunt tempora modi consectetur labore numquam magnam labore amet ut non amet."", ""Dolor velit quisquam porro est quiquia modi ut neque etincidunt dolorem neque dolorem quiquia sed non dolorem numquam quaerat dolorem sed numquam aliquam quisquam tempora."", ""Labore amet sed ipsum quiquia quiquia velit adipisci eius porro non."", ""Voluptatem consectetur tempora voluptatem velit dolorem adipisci quiquia consectetur velit velit numquam sit quiquia tempora neque."", ""Consectetur ut numquam non dolor velit sed porro voluptatem consectetur neque."", ""Modi quaerat dolor magnam tempora numquam dolore quisquam adipisci aliquam adipisci est ipsum quiquia neque tempora amet quaerat dolor ut quaerat labore.""]"
immediate,"[""Porro"", ""voluptatem"", ""quiquia"", ""etincidunt"", ""non"", ""amet"", ""est"", ""est"", ""ipsum"", ""sit"", ""non"", ""numquam"", ""tempora"", ""sit"", ""numquam"", ""tempora"", ""modi"", ""labore"", ""magnam"", ""magnam"", ""dolor""]","[""Sit aliquam quaerat ut quisquam porro dolore numquam ut quaerat dolor sit ipsum quaerat etincidunt quisquam neque porro eius amet."", ""Tempora quiquia consectetur eius aliquam magnam tempora dolore eius quiquia eius ut ipsum dolore amet aliquam consectetur adipisci ut consectetur etincidunt labore quiquia modi."", ""Eius quisquam aliquam quiquia est dolore voluptatem sed consectetur sit velit eius velit tempora."", ""Eius magnam quisquam adipisci sed non adipisci quiquia eius ut adipisci etincidunt quiquia sed neque."", ""Tempora magnam adipisci sed modi ut sed non numquam amet aliquam porro sed porro velit non voluptatem non porro sed porro dolore numquam sit porro modi labore amet."", ""Consectetur labore velit est consectetur dolore dolore ut etincidunt ut dolore non dolorem neque voluptatem amet voluptatem neque labore etincidunt velit modi adipisci voluptatem amet."", ""Sit dolor ut eius labore voluptatem magnam quisquam dolorem tempora neque dolorem amet ut eius voluptatem modi aliquam dolor quiquia quiquia quaerat magnam ipsum etincidunt ut magnam modi modi voluptatem."", ""Velit quisquam voluptatem porro quisquam modi sed porro neque sit magnam aliquam ipsum adipisci dolorem adipisci est etincidunt modi amet quaerat voluptatem ipsum."", ""Magnam labore labore eius voluptatem magnam tempora voluptatem dolor dolore quaerat neque est quisquam velit neque amet quisquam etincidunt modi consectetur ut porro est dolorem ut sit."", ""Quaerat dolore sit adipisci porro adipisci eius magnam est labore sit ut aliquam adipisci neque non labore numquam consectetur velit tempora aliquam dolorem dolor amet adipisci ipsum."", ""Labore modi sed tempora est quiquia dolore aliquam quiquia aliquam modi.""]"
disconcert,"[""Numquam"", ""porro"", ""labore"", ""dolorem"", ""adipisci"", ""est"", ""ipsum"", ""est"", ""numquam"", ""labore""]","[""Dolor dolore quisquam consectetur dolorem consectetur consectetur etincidunt dolore modi est."", ""Amet sed est dolor aliquam consectetur voluptatem sed quaerat porro velit aliquam labore etincidunt etincidunt ut est ut quiquia modi numquam velit amet dolore velit."", ""Dolore consectetur non dolor est ut amet aliquam modi ipsum dolorem velit porro voluptatem consectetur quiquia ipsum consectetur magnam amet ipsum porro quisquam modi aliquam tempora."", ""Magnam dolore etincidunt non quisquam dolore etincidunt consectetur aliquam magnam amet adipisci velit."", ""Sed amet amet dolor quaerat quiquia modi tempora ipsum aliquam porro voluptatem ipsum modi numquam sed est quiquia est consectetur sit tempora consectetur velit dolor aliquam."", ""Ut neque eius numquam magnam velit dolore ipsum neque amet sit voluptatem."", ""Voluptatem sed voluptatem eius sit ipsum voluptatem sit velit numquam ipsum quiquia."", ""Quisquam adipisci consectetur amet dolorem dolor neque est ut etincidunt tempora neque porro dolore magnam eius consectetur neque modi.""]"
obligingly,"[""Quaerat"", ""dolor"", ""labore"", ""neque"", ""porro"", ""ut"", ""porro"", ""sit"", ""est"", ""eius"", ""non"", ""sed""]","[""Ut numquam porro dolor magnam quiquia ut etincidunt dolor eius numquam labore numquam ipsum magnam consectetur modi quaerat tempora ipsum tempora dolor labore non ut."", ""Etincidunt non adipisci dolor ipsum quiquia neque modi adipisci adipisci.""]"
