word_lc,cos_dist,count,root_word,lemma_count
amorphous,1.0,0.96667,amorphous,1
blurred,1.0,0.93333,blurred,3
confused,1.0,0.96667,confused,6
dim,1.0,1.0,dim,9
faint,1.0,0.96667,faint,12
formless,1.0,1.0,formless,1
hazy,1.0,1.0,hazy,1
indefinite,1.0,0.53333,indefinite,2
indeterminate,1.0,0.96667,indeterminate,1
muddy,1.0,0.96667,muddy,1
nebulous,1.0,1.0,nebulous,1
obscure,1.0,1.0,obscure,1
shadowy,1.0,0.96667,shadowy,1
uncertain,1.0,0.96667,uncertain,3
vague,1.0,1.0,vague,5
bewildered,0.73986,0.96667,confused,1
ambiguously,0.7351,0.96667,ambiguous,1
puzzled,0.73214,0.83333,confused,1
baffled,0.71266,0.9,confused,1
indiscernible,0.67515,1.0,indistinct,1
mysterious,0.673,1.0,shadowy,2
haze,0.66968,0.86667,hazy,1
murky,0.66476,1.0,hazy,1
faintly,0.64678,0.96667,faint,10
mist,0.64242,0.63333,misty,2
undefined,0.61834,0.96667,ill-defined,1
dimly,0.61535,0.93333,dim,2
uncertainty,0.61494,0.63333,uncertain,1
incoherent,0.61287,1.0,muddled,3
ghostly,0.61007,0.9,shadowy,6
indefinitely,0.60994,0.26667,indefinite,1
unknown,0.60675,0.86667,uncertain,2
dazed,0.60219,0.93333,confused,1
obscurely,0.59633,1.0,obscure,2
vaguely,0.58577,0.96667,vague,4
faded,0.58071,0.96667,dim,2
uncertainly,0.58038,0.9,uncertain,1
hint,0.58033,0.63333,faint,4
dark,0.57897,0.96667,shadowy,26
confuse,0.57509,0.7,confused,4
confusion,0.56763,0.83333,confused,6
mistaken,0.56714,0.8,confused,1
impenetrable,0.55575,1.0,opaque,1
indecipherable,0.55341,0.96667,indistinct,1
ineffable,0.54807,0.9,formless,1
spiritless,0.53992,0.86667,shapeless,1
flicker,0.53839,0.36667,dim,3
indefinable,0.53605,0.96667,nebulous,1
flabby,0.53468,0.9,shapeless,1
emptiness,0.52618,0.83333,formless,1
dusty,0.52427,0.9,muddy,1
squint,0.52201,0.6,blurry,1
muffled,0.51854,0.9,indistinct,2
colourless,0.51846,0.93333,opaque,1
unimportant,0.5166,0.93333,obscure,1
shadow,0.51658,0.63333,shadowy,13
lightheaded,0.51338,0.7,faint,1
obscurity,0.51281,0.76667,obscure,1
misunderstanding,0.51098,0.63333,confused,1
murmur,0.50636,0.36667,faint,16
unfamiliar,0.50552,0.9,confused,9
elusive,0.50255,0.96667,nebulous,1
disembodied,0.50208,0.93333,formless,1
purposeless,0.49652,0.86667,formless,3
milky,0.4956,0.86667,misty,1
dizzy,0.49341,0.76667,faint,1
scarcely,0.49284,0.83333,faint,7
indistinguishably,0.48482,0.86667,indistinct,1
vacuous,0.4774,0.96667,nebulous,1
smoky,0.47712,0.83333,misty,1
hardly,0.47535,0.6,faint,9
unintelligible,0.47234,0.96667,indistinct,1
notion,0.47031,0.66667,nebulous,2
ashen,0.46745,0.93333,shapeless,2
melancholy,0.46656,0.9,misty,2
barely,0.46637,0.46667,faint,1
dusk,0.46614,0.36667,misty,4
