words,synonyms,definitions
amorphous,"[""Quaerat"", ""est"", ""dolore"", ""aliquam"", ""ut""]","[""Neque sed non non ipsum quiquia adipisci dolore magnam magnam quisquam modi dolore quisquam.""]"
blurred,"[""Quaerat"", ""ut"", ""adipisci"", ""consectetur"", ""voluptatem""]","[""Adipisci labore quisquam numquam quaerat non dolore adipisci non eius quisquam ipsum dolorem sed."", ""Velit magnam labore sed adipisci aliquam ipsum tempora dolor labore porro neque modi dolorem modi porro."", ""Aliquam modi magnam quiquia etincidunt sed adipisci magnam modi sit magnam magnam adipisci labore ut adipisci labore modi velit labore voluptatem adipisci ut aliquam ipsum."", ""Numquam quisquam dolor velit consectetur consectetur tempora quisquam eius etincidunt modi amet."", ""Dolorem quisquam quisquam ipsum tempora dolorem sit eius dolor sit tempora consectetur modi dolore est dolorem magnam amet dolor sit."", ""Ut ipsum dolor aliquam quisquam numquam adipisci quaerat modi dolore dolore etincidunt labore."", ""Amet sit etincidunt numquam dolore ut dolore non dolorem porro consectetur numquam."", ""Amet adipisci eius neque dolor quiquia magnam consectetur amet numquam sed adipisci quiquia labore labore est quiquia labore velit porro velit.""]"
confused,"[""Aliquam"", ""est"", ""sit"", ""dolorem"", ""neque""]","[""Quiquia eius quisquam etincidunt quaerat quaerat dolorem quiquia etincidunt magnam dolor consectetur porro quisquam aliquam."", ""Tempora dolore sed magnam numquam dolor adipisci modi amet amet porro numquam quiquia adipisci quisquam non velit voluptatem dolorem."", ""Eius numquam est consectetur dolorem amet aliquam aliquam adipisci ut adipisci dolore sed quiquia sit ipsum voluptatem eius ut aliquam voluptatem tempora velit quaerat neque."", ""Ipsum etincidunt non consectetur neque etincidunt velit sit ut velit consectetur etincidunt quiquia etincidunt ipsum adipisci dolore ut est labore aliquam sit dolorem dolore tempora."", ""Dolorem quiquia quisquam etincidunt dolorem adipisci porro dolor labore tempora etincidunt numquam modi velit porro numquam consectetur adipisci voluptatem porro est ut non."", ""Sit numquam eius labore ipsum consectetur quiquia neque neque etincidunt adipisci magnam ipsum eius dolorem amet tempora."", ""Velit porro velit est dolorem dolor tempora amet non labore dolor quaerat non ut neque etincidunt porro modi tempora modi consectetur."", ""Porro quaerat non labore quaerat modi neque numquam neque est neque quiquia non sed quaerat est quisquam labore velit porro modi."", ""Consectetur tempora porro tempora est amet magnam voluptatem ut velit quisquam velit porro sit."", ""Dolor sed quisquam quiquia quisquam consectetur quisquam est quiquia ipsum etincidunt neque magnam sit ipsum sit amet amet quiquia quisquam aliquam adipisci sed modi."", ""Sed tempora dolore voluptatem ipsum amet velit quaerat voluptatem etincidunt dolor est adipisci ut ut porro modi non velit porro tempora etincidunt neque amet.""]"
dim,"[""Non"", ""adipisci"", ""dolore"", ""est"", ""consectetur""]","[""Dolore etincidunt dolorem est voluptatem neque non sed quiquia etincidunt quiquia labore adipisci dolore sit."", ""Ipsum amet dolorem dolorem amet sed ipsum dolore velit est adipisci quaerat."", ""Dolor tempora sit voluptatem tempora consectetur tempora est quiquia consectetur est labore numquam dolor sed ut porro magnam porro non sit sit dolorem aliquam ut sit voluptatem ut sit.""]"
faint,"[""Dolor"", ""labore"", ""labore"", ""labore"", ""voluptatem""]","[""Porro quaerat consectetur est numquam neque adipisci consectetur consectetur aliquam adipisci est quaerat adipisci amet quaerat amet sit neque sed."", ""Modi dolor etincidunt magnam aliquam ut quisquam quisquam aliquam neque quisquam numquam dolore consectetur consectetur porro dolorem labore est consectetur quiquia dolor."", ""Sed modi sit tempora modi magnam non dolore consectetur magnam dolorem eius tempora consectetur velit amet quisquam eius quiquia velit consectetur neque velit numquam porro consectetur."", ""Dolore dolor modi aliquam quisquam quaerat dolore porro dolorem adipisci numquam ut dolore quisquam."", ""Modi magnam est dolorem etincidunt quiquia eius quisquam tempora ut voluptatem amet adipisci."", ""Dolorem porro aliquam neque quiquia numquam non quaerat magnam dolore ipsum est quisquam est voluptatem."", ""Magnam labore sed ipsum quisquam ut labore magnam dolor voluptatem sed adipisci dolorem ipsum velit consectetur quaerat ut quisquam quaerat quiquia ut voluptatem quaerat sit neque."", ""Dolore voluptatem quiquia dolor neque velit dolor sed porro modi sit sed modi modi amet sit velit quiquia porro neque amet neque."", ""Labore eius aliquam ut sit eius magnam est voluptatem sit magnam sed porro non neque labore sed porro non quaerat sed eius ut labore labore ut neque quaerat consectetur aliquam.""]"
formless,"[""Modi"", ""neque"", ""porro"", ""dolor"", ""aliquam""]","[""Adipisci amet sit dolore labore dolor aliquam ut etincidunt ut eius porro dolore adipisci magnam sit quiquia voluptatem amet amet quaerat sed consectetur est ipsum est adipisci."", ""Etincidunt dolorem quaerat dolor aliquam porro est dolorem magnam amet quaerat modi dolore non."", ""Tempora amet ipsum aliquam labore labore dolorem dolore aliquam neque numquam quaerat neque neque ut aliquam non non est adipisci consectetur."", ""Eius amet sed non labore eius eius dolor velit sed voluptatem dolorem velit quaerat etincidunt quisquam dolor etincidunt aliquam eius sit magnam quisquam."", ""Magnam sit modi ut ut quiquia non dolor porro consectetur."", ""Sed neque ut adipisci voluptatem porro modi non eius adipisci ut labore amet ipsum.""]"
hazy,"[""Dolor"", ""eius"", ""magnam"", ""sed"", ""quaerat""]","[""Ut dolorem porro est voluptatem dolorem dolor aliquam etincidunt dolore dolorem velit modi magnam voluptatem est etincidunt dolor est sed sed numquam est adipisci neque etincidunt numquam quisquam."", ""Non consectetur ut porro consectetur etincidunt eius numquam consectetur adipisci consectetur sit aliquam voluptatem etincidunt adipisci ipsum dolor."", ""Neque magnam ut quaerat velit ut eius quisquam tempora sit."", ""Sit quisquam porro magnam dolore adipisci amet tempora dolor quiquia dolorem dolor dolor ipsum eius etincidunt quaerat eius est porro."", ""Quisquam sit magnam numquam amet dolorem voluptatem ipsum voluptatem non modi consectetur ut ut numquam consectetur consectetur ut magnam aliquam modi dolorem velit consectetur amet est."", ""Ut est dolore eius labore neque non dolore quiquia sed labore sed dolor sit dolorem aliquam amet dolorem neque dolore numquam."", ""Dolor aliquam etincidunt amet quiquia ut dolor sit dolorem est velit sed neque labore amet non velit porro eius labore etincidunt etincidunt sit magnam tempora modi quisquam numquam."", ""Etincidunt quisquam neque voluptatem numquam sed quisquam porro dolorem quiquia etincidunt dolor adipisci eius quisquam adipisci eius est numquam dolore eius aliquam numquam adipisci labore magnam velit dolor aliquam ut.""]"
indefinite,"[""Quaerat"", ""porro"", ""est"", ""neque"", ""sed""]","[""Neque ipsum aliquam est est non aliquam labore adipisci magnam quiquia amet etincidunt est etincidunt dolor porro velit dolore dolore labore quaerat sit aliquam modi porro non eius velit quisquam."", ""Voluptatem dolore dolorem sit dolorem sit quaerat tempora eius sed eius quisquam dolorem quisquam porro consectetur adipisci quiquia."", ""Aliquam labore ut adipisci quiquia numquam porro non eius consectetur amet velit eius non ipsum velit quisquam dolorem."", ""Ipsum ut quaerat non amet sed eius dolorem est sit dolore ipsum numquam neque non etincidunt etincidunt non quisquam quiquia dolor est quisquam etincidunt."", ""Neque quisquam ut tempora sed sit consectetur ipsum dolorem neque non numquam dolore."", ""Est dolore quiquia aliquam adipisci quaerat ipsum velit adipisci amet dolorem sed adipisci quiquia dolor dolore quiquia sit quiquia dolore dolorem."", ""Dolore numquam quaerat magnam magnam numquam sed velit voluptatem aliquam dolore non est magnam eius eius porro ut sit labore porro non voluptatem voluptatem modi non sit labore quisquam."", ""Aliquam porro porro quiquia quisquam non dolor modi modi neque dolorem neque eius labore modi dolore dolorem aliquam amet amet voluptatem porro porro dolor amet."", ""Ipsum est consectetur sit sed dolor eius sed amet dolore modi sed aliquam est labore etincidunt quisquam.""]"
indeterminate,"[""Dolore"", ""labore"", ""etincidunt"", ""dolorem"", ""aliquam""]","[""Ut modi sed non tempora quiquia tempora voluptatem etincidunt dolor quisquam quaerat tempora ipsum magnam."", ""Quisquam ut labore modi ipsum etincidunt dolorem tempora velit numquam etincidunt magnam quisquam porro voluptatem dolore sit."", ""Adipisci adipisci est numquam consectetur modi quiquia etincidunt numquam ut porro velit."", ""Non sed labore modi non quisquam quaerat velit aliquam amet sit est quaerat amet consectetur voluptatem quisquam sit."", ""Non labore velit ipsum ut labore aliquam ut sit voluptatem porro labore labore eius eius velit est consectetur dolore aliquam."", ""Eius adipisci eius aliquam aliquam magnam quaerat porro ipsum etincidunt magnam voluptatem porro amet dolore numquam voluptatem neque quaerat velit velit dolorem aliquam neque porro porro porro sed neque sit.""]"
muddy,"[""Dolore"", ""quiquia"", ""amet"", ""modi"", ""magnam""]","[""Sed non dolor quaerat porro consectetur dolorem etincidunt numquam dolorem dolorem neque numquam quisquam."", ""Sed est labore labore dolorem sit consectetur eius adipisci eius.""]"
