word_lc,cos_dist,count,root_word,lemma_count
alarming,1.0,0.8,alarming,1
bad,1.0,0.93333,bad,14
criminal,1.0,0.53333,criminal,1
dark,1.0,0.93333,dark,26
disquieting,1.0,0.93333,disquieting,1
frightening,1.0,0.96667,frightening,2
menacing,1.0,0.96667,menacing,1
portentous,1.0,0.96667,portentous,2
sinister,1.0,0.96667,sinister,4
underhand,1.0,0.66667,underhand,1
villainous,1.0,0.93333,villainous,1
despicable,0.79787,0.96667,vile,1
haunting,0.76219,0.83333,eerie,1
terrible,0.7317,0.96667,bad,9
horrible,0.71894,0.96667,bad,2
ghostly,0.71321,0.86667,eerie,6
malevolence,0.69263,0.93333,malevolent,1
corruption,0.67499,0.5,corrupt,1
shadowy,0.67328,0.93333,sinister,1
awful,0.6695,0.93333,bad,4
insidious,0.64912,0.96667,sinister,1
mysterious,0.64762,0.93333,sinister,2
ghastly,0.64059,0.96667,vile,2
darkness,0.64004,0.6,dark,9
distasteful,0.6391,0.96667,vile,1
bizarre,0.63308,0.96667,disturbing,3
harrowing,0.63002,0.83333,frightening,1
frightened,0.62743,0.9,frightening,3
vulgar,0.62395,0.96667,vile,2
gloomy,0.61265,0.9,ominous,1
terrified,0.60791,0.83333,frightening,1
appalling,0.60199,0.93333,vile,1
monstrous,0.5992,0.96667,malevolent,1
darken,0.59335,0.46667,dark,2
ferocious,0.59288,0.96667,menacing,2
bleak,0.5872,0.83333,ominous,1
cruel,0.5794,0.96667,vile,1
grotesque,0.57831,0.96667,vile,6
disquiet,0.57774,0.63333,disquieting,1
hulking,0.57231,0.76667,evil-looking,1
dishonest,0.56863,0.8,corrupt,1
devil,0.55347,0.66667,evil,3
subterfuge,0.54809,0.76667,nefarious,1
hostile,0.54726,0.96667,threatening,2
obscene,0.53899,0.93333,vile,2
nightmare,0.53583,0.8,frightening,1
rotten,0.52979,0.86667,bad,2
contemptuous,0.52642,0.93333,vile,3
morbid,0.52432,0.93333,disquieting,2
frighten,0.52388,0.86667,frightening,1
malice,0.52142,0.63333,malicious,1
slander,0.51906,0.46667,vile,1
horribly,0.5171,0.93333,bad,2
scare,0.5111,0.66667,frightening,1
savage,0.50447,0.96667,vile,2
uncivilized,0.49889,0.93333,vile,1
disgusted,0.49792,0.76667,vile,1
oppressive,0.49296,0.96667,malevolent,1
despairing,0.48944,0.9,disquieting,1
violent,0.48856,0.96667,frightening,5
despise,0.4875,0.56667,vile,3
deplorably,0.48521,0.96667,vile,1
disembodied,0.48261,0.7,malevolent,1
ashen,0.48254,0.66667,dark,2
cynical,0.48215,0.93333,sinister,2
ghost,0.48141,0.63333,eerie,4
damned,0.48023,0.86667,bad,5
unutterably,0.48002,0.9,vile,1
bloody,0.47937,0.9,vile,1
unscrupulously,0.47772,0.66667,nefarious,1
insolent,0.47718,0.9,wicked,1
gloom,0.47619,0.7,dark,2
intolerable,0.47498,0.86667,vile,1
fright,0.47413,0.73333,frightening,1
vacuous,0.47148,0.76667,vile,1
suspicious,0.46873,0.96667,sinister,2
arrogant,0.46812,0.9,corrupt,2
murder,0.46707,0.66667,criminal,1
dangerously,0.46415,0.86667,alarming,1
gloomily,0.46366,0.6,portentous,2
obliterate,0.46335,0.7,malign,1
shrill,0.46254,0.86667,menacing,3
suspiciously,0.46217,0.93333,sinister,2
angry,0.45588,0.83333,threatening,4
rakish,0.45587,0.8,villainous,1
bribe,0.45572,0.36667,corrupt,1
demoniac,0.45511,0.86667,malevolent,1
apparition,0.44847,0.7,eerie,1
madman,0.44603,0.66667,malevolent,2
hate,0.44442,0.53333,vile,6
meretricious,0.43536,0.76667,vile,1
swindler,0.42923,0.43333,corrupt,1
strangle,0.41746,0.46667,threatening,1
spidery,0.41324,0.66667,evil-looking,1
violently,0.41256,0.86667,threatening,5
brute,0.41168,0.56667,malevolent,1
