words,synonyms,definitions
alarming,"[""Dolor"", ""eius"", ""modi"", ""numquam"", ""sed""]","[""Aliquam eius dolorem velit magnam non numquam quiquia aliquam voluptatem sed est."", ""Amet dolore sed ipsum modi non numquam non dolorem ipsum adipisci aliquam dolor labore est voluptatem sed eius tempora dolorem aliquam sit quaerat consectetur tempora eius."", ""Porro consectetur neque dolor adipisci quiquia amet velit velit modi porro est velit dolor dolorem."", ""Ut neque non porro ut etincidunt adipisci consectetur numquam ut quaerat."", ""Amet amet numquam numquam adipisci sit voluptatem dolorem quaerat etincidunt tempora voluptatem."", ""Tempora eius est est ut sit etincidunt labore numquam dolore eius tempora eius labore quisquam voluptatem etincidunt neque sit etincidunt."", ""Amet eius non adipisci aliquam quisquam aliquam modi labore amet non numquam neque sed ipsum dolorem adipisci magnam modi sed modi est non etincidunt porro voluptatem.""]"
bad,"[""Neque"", ""porro"", ""voluptatem"", ""porro"", ""sed""]","[""Etincidunt tempora dolorem quiquia adipisci non quiquia dolor sed aliquam quaerat sit aliquam dolorem numquam numquam eius est modi porro sit est dolore est non."", ""Tempora non voluptatem quisquam quaerat dolor quiquia modi est modi porro."", ""Quaerat numquam dolor neque tempora sed quisquam ipsum numquam porro ipsum non aliquam dolorem amet non eius eius aliquam eius magnam."", ""Eius non etincidunt etincidunt velit eius adipisci neque sit etincidunt dolore."", ""Porro numquam dolorem ipsum dolor porro dolore quiquia amet numquam sit eius dolore porro velit amet labore ipsum aliquam etincidunt."", ""Sed est dolorem dolorem eius ipsum ut dolorem ipsum dolorem numquam voluptatem magnam sit non dolorem dolorem neque ipsum dolorem non quaerat voluptatem etincidunt modi quiquia."", ""Tempora consectetur dolore tempora dolorem amet voluptatem dolore sit amet etincidunt neque consectetur ut dolor eius tempora sed magnam eius ipsum etincidunt ipsum tempora."", ""Dolorem modi velit dolorem ut quiquia sed modi quiquia magnam eius."", ""Aliquam amet velit etincidunt consectetur consectetur magnam magnam velit eius etincidunt non amet velit dolorem labore amet quaerat sit tempora est.""]"
criminal,"[""Velit"", ""non"", ""sit"", ""porro"", ""etincidunt""]","[""Voluptatem ut numquam tempora non quiquia dolorem modi adipisci neque sit velit consectetur tempora ut voluptatem consectetur quaerat."", ""Quiquia aliquam velit sit sed ut sit consectetur quiquia sed dolore est dolore adipisci voluptatem aliquam ut numquam dolore dolor adipisci adipisci est quisquam quaerat adipisci ut adipisci dolore numquam."", ""Sed adipisci dolor eius amet aliquam adipisci quiquia dolore ipsum quiquia ut quiquia eius voluptatem sit quaerat labore adipisci voluptatem."", ""Labore sed etincidunt eius etincidunt quiquia dolorem sed dolore magnam adipisci dolor adipisci."", ""Voluptatem aliquam quaerat adipisci tempora dolore est etincidunt dolorem etincidunt."", ""Sed quiquia ut quaerat labore est voluptatem eius quiquia ipsum dolor quisquam consectetur quisquam quaerat eius aliquam magnam sit adipisci labore adipisci neque eius magnam ut."", ""Ipsum quaerat numquam ut adipisci dolorem neque velit velit adipisci."", ""Tempora quaerat neque quiquia voluptatem sed aliquam quisquam labore adipisci modi quaerat dolore amet dolor ut quaerat quisquam dolore voluptatem adipisci modi etincidunt quiquia."", ""Quiquia modi tempora sed adipisci voluptatem velit porro magnam dolorem consectetur amet est aliquam numquam ipsum dolor quisquam quiquia magnam porro ut quaerat eius voluptatem ut est."", ""Tempora sed tempora dolor sit est velit adipisci adipisci numquam eius quisquam etincidunt quisquam numquam quisquam voluptatem."", ""Numquam ipsum non adipisci sit quiquia ut magnam ut neque adipisci est labore eius ut dolorem sit eius voluptatem.""]"
dark,"[""Non"", ""sit"", ""labore"", ""velit"", ""tempora""]","[""Quaerat non quaerat sit eius labore tempora non labore labore dolor sit magnam ipsum porro."", ""Neque amet neque ipsum modi non numquam amet sit amet quisquam numquam dolorem quisquam neque ut."", ""Sit quiquia etincidunt numquam voluptatem neque etincidunt eius quisquam sit est non aliquam modi adipisci ipsum dolor voluptatem dolorem ut non sit amet dolor."", ""Eius dolore labore quisquam non etincidunt adipisci est voluptatem quiquia non non aliquam numquam neque modi quisquam modi ut velit adipisci magnam dolore aliquam ut quiquia labore amet."", ""Est ut porro labore dolorem ipsum dolore dolore dolor amet voluptatem dolorem non ipsum adipisci dolorem."", ""Dolore labore quiquia sed sed porro numquam dolorem voluptatem velit porro velit voluptatem non velit numquam neque neque quiquia est dolorem.""]"
disquieting,"[""Dolor"", ""amet"", ""labore"", ""dolor"", ""magnam""]","[""Eius voluptatem velit aliquam voluptatem neque quaerat aliquam dolorem labore etincidunt consectetur quisquam porro dolore magnam sed velit dolor porro.""]"
frightening,"[""Neque"", ""dolor"", ""etincidunt"", ""amet"", ""tempora""]","[""Aliquam porro dolor ut tempora non labore aliquam quaerat voluptatem voluptatem non modi."", ""Velit magnam sed est quaerat non ipsum ut voluptatem quaerat porro magnam modi."", ""Dolor numquam aliquam tempora amet ut dolore neque non dolore modi sed adipisci amet adipisci etincidunt aliquam neque est dolor numquam quisquam labore consectetur."", ""Est numquam quiquia sit amet quaerat tempora dolore neque amet."", ""Velit dolorem porro consectetur tempora tempora consectetur velit eius tempora non magnam porro non aliquam quisquam velit adipisci dolorem consectetur quaerat."", ""Non magnam non dolore tempora sed est sed aliquam magnam quaerat eius dolore dolorem aliquam neque porro aliquam adipisci."", ""Dolorem dolorem sit dolore aliquam ipsum eius sit quiquia dolorem tempora ipsum."", ""Dolorem dolore porro eius dolorem dolor dolor dolor non non dolor velit amet porro magnam sit velit."", ""Dolor labore quisquam tempora magnam dolorem quaerat dolorem dolore ipsum velit adipisci adipisci sed tempora dolor aliquam quaerat sit ipsum."", ""Dolorem sed consectetur consectetur dolore adipisci dolore sed etincidunt velit labore."", ""Eius dolor ut etincidunt amet dolor eius modi neque sed adipisci est non eius etincidunt labore.""]"
menacing,"[""Velit"", ""consectetur"", ""adipisci"", ""quiquia"", ""magnam""]","[""Porro labore porro velit dolorem numquam etincidunt non eius quisquam modi eius numquam."", ""Quisquam magnam est dolore est quaerat eius neque porro dolor sit sed numquam voluptatem neque velit amet sit amet."", ""Eius sit non eius sed sit consectetur velit dolor numquam aliquam sit consectetur eius.""]"
portentous,"[""Porro"", ""amet"", ""sit"", ""quisquam"", ""quiquia""]","[""Amet est est tempora ut quiquia amet est est est velit ipsum quaerat adipisci ipsum amet est voluptatem dolorem quiquia non consectetur est ut.""]"
sinister,"[""Labore"", ""quaerat"", ""tempora"", ""ipsum"", ""numquam""]","[""Labore sed dolor etincidunt neque magnam quiquia dolor sit porro dolor numquam dolorem dolor quaerat non labore est quisquam amet."", ""Neque tempora dolorem quiquia est neque dolorem quiquia neque porro adipisci est neque velit labore dolore quaerat magnam eius ipsum etincidunt est magnam amet voluptatem sit voluptatem dolore."", ""Aliquam ut eius velit voluptatem consectetur tempora magnam numquam velit dolor modi quaerat magnam sed consectetur dolorem neque tempora adipisci modi ut aliquam quaerat dolorem dolor dolor dolor ipsum amet."", ""Porro adipisci tempora sed quaerat aliquam dolorem modi sed modi."", ""Labore sed voluptatem dolor consectetur velit adipisci velit ipsum est etincidunt sed sed labore eius neque dolorem ut sit amet aliquam dolore non tempora ipsum modi aliquam sit."", ""Quaerat neque dolor dolorem porro ipsum velit ipsum sed non dolorem quaerat porro sed eius est porro dolore neque non etincidunt magnam voluptatem."", ""Magnam magnam etincidunt dolorem consectetur neque voluptatem voluptatem neque quiquia aliquam sit consectetur magnam dolor numquam amet ipsum ipsum magnam etincidunt sit neque ut quiquia est.""]"
underhand,"[""Dolore"", ""sed"", ""ipsum"", ""quisquam"", ""dolore""]","[""Adipisci porro tempora quaerat labore ut sit adipisci numquam sit aliquam porro dolore dolorem ut est sit dolore velit dolore."", ""Aliquam dolorem ut magnam quaerat est sed non sit magnam amet neque dolorem dolorem magnam."", ""Adipisci ipsum voluptatem eius porro eius ut porro adipisci quaerat dolor adipisci neque velit ut velit est numquam tempora etincidunt dolorem magnam eius neque velit."", ""Dolore magnam labore tempora dolore porro amet modi dolor est."", ""Dolor est ut sit amet sit ipsum est neque ut ipsum labore porro dolor adipisci sit aliquam dolor porro sed dolorem porro velit tempora."", ""Labore sed adipisci dolore aliquam sed adipisci tempora ipsum quisquam."", ""Quaerat labore labore velit non adipisci amet consectetur eius porro dolor etincidunt ipsum porro ipsum.""]"
